case,Measure,complexity,chatgpt-4o,chatgpt-o1,chatgpt-4.5,gemini,gemini-advanced_1.5,gemini-1.5-thinking,gemini (%),gemini-advanced_1.5 (%)
multiple script,Equivalence,1,100,66.7,100,36.67,100,100,36.67,100
multiple formulae,Equivalence,1,100,100,100,100,100,0,100,100
multiple script,Equivalence,2,23.33,30,22.21,53.33,40,10,53.33,40
multiple formulae,Equivalence,2,63.33,0,50.78,40,40,0,40,40
multiple script,Equivalence,3,0,0,0,0,0,0,0,0
multiple formulae,Equivalence,3,0,0,0,0,0,0,0,0
multiple script,Accuracy,1,100,100,100,68.33,100,67.38,68.33,100
multiple formulae,Accuracy,1,66.67,100,61.23,66.67,100,100,66.67,100
multiple script,Accuracy,2,53.33,53.33,55.76,56.67,20,36.67,56.67,20
multiple formulae,Accuracy,2,34.44,40,27.65,43.33,20,56.67,43.33,20
multiple script,Accuracy,3,50,0,0,0,0,33.33,0,0
multiple formulae,Accuracy,3,0,0,0,0,0,0,0,0
multiple script,Valid instances,1,60,60,80,41,30,71,45.55555556,100
multiple formulae,Valid instances,1,60,60,80,60,30,30,66.66666667,100
multiple script,Valid instances,2,52,38,53,41,12,61,45.55555556,40
multiple formulae,Valid instances,2,53,38,50,47,12,23,52.22222222,40
multiple script,Valid instances,3,30,0,0,0,0,30,0,0
multiple formulae,Valid instances,3,0,0,0,0,0,0,0,0
multiple script,Known sequence,1,0,0,0,0,0,0,0,0
multiple formulae,Known sequence,1,0,0,0,0,0,0,0,0
multiple script,Known sequence,2,4,1,3,11,4,2,12.22222222,13.33333333
multiple formulae,Known sequence,2,23,1,19,15,4,7,16.66666667,13.33333333
multiple script,Known sequence,3,0,0,0,0,0,0,0,0
multiple formulae,Known sequence,3,0,0,0,0,0,0,0,0
multiple script,Not found,1,0,0,0,19,0,19,21.11111111,0
multiple formulae,Not found,1,0,0,0,0,0,0,0,0
multiple script,Not found,2,8,11,6,19,18,29,21.11111111,60
multiple formulae,Not found,2,0,19,6,9,18,0,10,60
multiple script,Not found,3,30,30,30,60,30,60,66.66666667,100
multiple formulae,Not found,3,30,30,32,30,30,30,33.33333333,100
multiple script,Pure math,1,60,30,77,41,30,41,45.55555556,100
multiple formulae,Pure math,1,60,30,70,60,30,30,66.66666667,100
multiple script,Pure math,2,28,16,16,30,8,29,33.33333333,26.66666667
multiple formulae,Pure math,2,30,10,19,32,8,16,35.55555556,26.66666667
multiple script,Pure math,3,0,0,0,0,0,0,0,0
multiple formulae,Pure math,3,0,0,0,0,0,0,0,0
multiple script,Print,1,0,0,0,0,0,30,0,0
multiple formulae,Print,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
multiple script,Print,2,20,2,16,0,0,30,0,0
multiple formulae,Print,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
multiple script,Print,3,30,0,30,0,0,30,0,0
multiple formulae,Print,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
multiple script,correct Known sequence,1,0,0,0,0,0,0,0,0
multiple formulae,correct Known sequence,1,0,0,0,0,0,0,0,0
multiple script,correct Known sequence,2,0,0,0,11,3,0,12.22222222,10
multiple formulae,correct Known sequence,2,9,0,0,7,3,7,7.777777778,10
multiple script,correct Known sequence,3,0,0,0,0,0,0,0,0
multiple formulae,correct Known sequence,3,0,0,0,0,0,0,0,0
multiple script,correct Not found,1,0,0,0,0,0,0,0,0
multiple formulae,correct Not found,1,0,0,0,0,0,0,0,0
multiple script,correct Not found,2,0,0,0,0,0,0,0,0
multiple formulae,correct Not found,2,0,0,0,0,0,0,0,0
multiple script,correct Not found,3,0,0,0,0,0,0,0,0
multiple formulae,correct Not found,3,0,0,0,0,0,0,0,0
multiple script,correct Pure math,1,60,30,77,41,30,30,45.55555556,100
multiple formulae,correct Pure math,1,30,30,70,30,30,30,33.33333333,100
multiple script,correct Pure math,2,13,9,17,23,3,30,25.55555556,10
multiple formulae,correct Pure math,2,9,3,10,13,3,10,14.44444444,10
multiple script,correct Pure math,3,0,0,0,0,0,30,0,0
multiple formulae,correct Pure math,3,0,0,0,0,0,0,0,0
multiple script,correct Print,1,0,0,0,0,0,31,0,0
multiple formulae,correct Print,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
multiple script,correct Print,2,19,1,21,0,0,3,0,0
multiple formulae,correct Print,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
multiple script,correct Print,3,30,0,27,0,0,0,0,0
multiple formulae,correct Print,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
