model,complexity,measure,value
ChatGPT-4.5,1,Accuracy,0.0
ChatGPT-4o,1,Accuracy,100.0
ChatGPT-4o-Mini,1,Accuracy,14.545454545454547
ChatGPT-5,1,Accuracy,12.5
ChatGPT-5.2,1,Accuracy,66.66666666666666
Claude-3.5,1,Accuracy,100.0
Claude-3.7,1,Accuracy,8.484848484848486
Claude-4.5,1,Accuracy,100.0
Claude-Opus-4,1,Accuracy,11.666666666666666
Claude-Sonnet-4,1,Accuracy,13.333333333333336
Cursor-Small,1,Accuracy,100.0
DeepSeek,1,Accuracy,100.0
DeepSeek-R1-0528,1,Accuracy,8.484848484848486
Gemini,1,Accuracy,67.77777777777777
Gemini-2.5-Pro,1,Accuracy,9.696969696969697
Gemini-3-Pro,1,Accuracy,0.0
Grok-3,1,Accuracy,0.0
Grok-4,1,Accuracy,51.66666666666666
Grok-4.1,1,Accuracy,43.333333333333336
Llama-4-Scout,1,Accuracy,4.545454545454546
Meta,1,Accuracy,0.0
Mistral,1,Accuracy,100.0
Mistral-Large-2405,1,Accuracy,4.545454545454546
Mistral-Large-3,1,Accuracy,100.0
Qwen,1,Accuracy,0.0
Qwen-3,1,Accuracy,0.0
o1-Mini,1,Accuracy,88.88888888888889
o1-Preview,1,Accuracy,83.33333333333333
ChatGPT-4.5,2,Accuracy,0.0
ChatGPT-4o,2,Accuracy,55.00000000000001
ChatGPT-4o-Mini,2,Accuracy,4.848484848484849
ChatGPT-5,2,Accuracy,5.0
ChatGPT-5.2,2,Accuracy,25.0
Claude-3.5,2,Accuracy,34.444444444444436
Claude-3.7,2,Accuracy,4.545454545454546
Claude-4.5,2,Accuracy,30.0
Claude-Opus-4,2,Accuracy,0.8333333333333334
Claude-Sonnet-4,2,Accuracy,4.666666666666667
Cursor-Small,2,Accuracy,40.0
DeepSeek,2,Accuracy,58.333333333333336
DeepSeek-R1-0528,2,Accuracy,3.0303030303030307
Gemini,2,Accuracy,36.66666666666667
Gemini-2.5-Pro,2,Accuracy,3.0303030303030307
Gemini-3-Pro,2,Accuracy,0.0
Grok-3,2,Accuracy,0.0
Grok-4,2,Accuracy,10.0
Grok-4.1,2,Accuracy,11.11111111111111
Llama-4-Scout,2,Accuracy,1.515151515151515
Meta,2,Accuracy,0.0
Mistral,2,Accuracy,53.333333333333336
Mistral-Large-2405,2,Accuracy,2.1212121212121215
Mistral-Large-3,2,Accuracy,26.666666666666668
Qwen,2,Accuracy,0.0
Qwen-3,2,Accuracy,1.515151515151515
o1-Mini,2,Accuracy,28.888888888888893
o1-Preview,2,Accuracy,20.0
ChatGPT-4.5,3,Accuracy,0.0
ChatGPT-4o,3,Accuracy,50.0
ChatGPT-4o-Mini,3,Accuracy,0.0
ChatGPT-5,3,Accuracy,25.0
ChatGPT-5.2,3,Accuracy,0.0
Claude-3.5,3,Accuracy,33.33333333333333
Claude-3.7,3,Accuracy,0.0
Claude-4.5,3,Accuracy,0.0
Claude-Opus-4,3,Accuracy,25.0
Claude-Sonnet-4,3,Accuracy,0.0
Cursor-Small,3,Accuracy,50.0
DeepSeek,3,Accuracy,0.0
DeepSeek-R1-0528,3,Accuracy,0.0
Gemini,3,Accuracy,33.33333333333333
Gemini-2.5-Pro,3,Accuracy,0.0
Gemini-3-Pro,3,Accuracy,0.0
Grok-3,3,Accuracy,0.0
Grok-4,3,Accuracy,0.0
Grok-4.1,3,Accuracy,0.0
Llama-4-Scout,3,Accuracy,0.0
Meta,3,Accuracy,0.0
Mistral,3,Accuracy,0.0
Mistral-Large-2405,3,Accuracy,0.0
Mistral-Large-3,3,Accuracy,0.0
Qwen,3,Accuracy,0.0
Qwen-3,3,Accuracy,0.0
o1-Mini,3,Accuracy,33.33333333333333
o1-Preview,3,Accuracy,0.0
ChatGPT-4.5,1,Equivalence,0.0
ChatGPT-4o,1,Equivalence,100.0
ChatGPT-4o-Mini,1,Equivalence,53.333333333333336
ChatGPT-5,1,Equivalence,20.0
ChatGPT-5.2,1,Equivalence,33.333333333333336
