complexity,length_type,language,q_length,a_length,temperature,real_code,print_code,no_code,explanation
1,0,Mathematica,68,56,0.001,0,0,1,0
1,0,Mathematica,64,109,0.001,0,0,1,0
1,0,Mathematica,64,125,0.001,0,0,1,0
1,0,Mathematica,66,123,0.001,0,0,1,0
1,0,Mathematica,73,263,0.001,0,0,1,0
1,0,Mathematica,65,114,0.001,0,1,0,0
1,0,Mathematica,70,70,0.001,0,0,1,0
1,0,Mathematica,66,88,0.001,0,0,1,0
1,0,Mathematica,50,111,0.001,0,1,0,0
1,0,Mathematica,56,78,0.001,0,1,0,0
2,0,Mathematica,66,136,0.001,0,0,1,0
2,0,Mathematica,62,162,0.001,0,0,1,0
2,0,Mathematica,59,100,0.001,0,0,1,0
2,0,Mathematica,60,117,0.001,0,0,1,0
2,0,Mathematica,69,99,0.001,0,0,1,0
2,0,Mathematica,65,127,0.001,0,0,1,0
2,0,Mathematica,66,186,0.001,0,0,1,0
2,0,Mathematica,65,135,0.001,0,0,1,0
2,0,Mathematica,78,66,0.001,0,0,1,0
2,0,Mathematica,78,95,0.001,0,0,1,0
3,0,Mathematica,68,159,0.001,0,0,1,0
3,0,Mathematica,75,124,0.001,0,0,1,0
3,0,Mathematica,74,130,0.001,0,0,1,0
3,0,Mathematica,74,73,0.001,0,0,1,0
3,0,Mathematica,74,101,0.001,0,0,1,0
3,0,Mathematica,96,142,0.001,0,0,1,0
3,0,Mathematica,88,211,0.001,0,0,1,0
3,0,Mathematica,79,25,0.001,0,0,1,0
3,0,Mathematica,80,117,0.001,0,0,1,0
3,0,Mathematica,76,144,0.001,0,0,1,0
random,0,Mathematica,83,157,0.001,0,0,1,0
random,0,Mathematica,85,119,0.001,0,1,0,0
random,0,Mathematica,96,139,0.001,0,0,1,0
1,0,Python,63,140,0.001,0,0,1,0
1,0,Python,59,78,0.001,0,0,1,0
1,0,Python,59,78,0.001,0,0,1,0
1,0,Python,61,100,0.001,0,0,1,0
1,0,Python,68,163,0.001,1,0,0,0
1,0,Python,60,34,0.001,0,1,0,0
1,0,Python,65,86,0.001,0,0,1,0
1,0,Python,61,88,0.001,0,0,1,0
1,0,Python,45,25,0.001,0,1,0,0
1,0,Python,51,71,0.001,0,1,0,0
2,0,Python,61,105,0.001,0,0,1,0
2,0,Python,57,78,0.001,0,0,1,0
2,0,Python,54,157,0.001,0,0,1,0
2,0,Python,55,100,0.001,0,0,1,0
2,0,Python,64,163,0.001,0,0,1,0
2,0,Python,60,126,0.001,0,0,1,0
2,0,Python,61,122,0.001,0,0,1,0
2,0,Python,60,224,0.001,0,0,1,0
2,0,Python,73,91,0.001,1,0,0,0
2,0,Python,73,116,0.001,1,0,0,0
3,0,Python,63,232,0.001,0,0,1,0
3,0,Python,70,62,0.001,0,0,1,0
3,0,Python,69,33,0.001,1,0,0,0
3,0,Python,69,162,0.001,0,0,0,0
3,0,Python,69,33,0.001,0,0,0,0
3,0,Python,91,73,0.001,0,0,0,0
3,0,Python,83,94,0.001,0,0,0,0
3,0,Python,74,73,0.001,0,0,0,0
3,0,Python,75,33,0.001,0,0,0,0
3,0,Python,71,75,0.001,0,0,0,0
random,0,Python,78,94,0.001,0,0,0,0
random,0,Python,80,203,0.001,0,0,0,0
random,0,Python,91,136,0.001,0,0,0,0
1,0,Maple,62,69,0.001,0,0,0,0
1,0,Maple,58,184,0.001,0,0,0,0
1,0,Maple,58,78,0.001,0,0,0,0
1,0,Maple,60,180,0.001,0,0,0,0
1,0,Maple,67,1312,0.001,0,0,0,0
1,0,Maple,59,95,0.001,0,0,0,0
1,0,Maple,64,116,0.001,0,0,0,0
1,0,Maple,60,118,0.001,0,0,0,0
