sequence,complexity,length_type,language,q_length,answer,a_length,temperature,real_code,print_code,no_code,explanation,no_sense
"Complexity: 1[ 1, 2, 3, 4, 5, 6, 7, 8, ]",1,0,Brainfuck,161,"```Brainfuck
+++++++++[>+++++++<-]>++++.>+.>++.>+++.>++++.>+++++.>++++++.>+++++++.>++++++++.
```",96,1,0,0,0,0,0
"Complexity: 1[ 0, 2, 4, 6, 8, 10, 1]",1,0,Brainfuck,157,"```brainfuck
++++++[->++++++<]>.,++.,++.,++.,++.,++.,++.
```",60,1,0,0,0,0,0
"Complexity: 1[ 1, 3, 5, 7, 9, 11, 1]",1,0,Brainfuck,157,"```brainfuck
++++++++++[>+++++++<-]>++.+.+.+.+.+.+.+.
```",57,1,0,0,0,0,0
"Complexity: 1[ 101, 103, 105, 107, 10]",1,0,Brainfuck,159,"```brainfuck
++++++++++[>+++++++<-]>+.--.+.+.+.
```",51,1,0,0,0,0,0
"Complexity: 1[ 2, 3, 5, 7, 11, 13, 17, 19, 2]",1,0,Brainfuck,166,"```brainfuck
++++++++++[>+++++++<-]>+.<++++[>++++<-]>+++.<+++[>----<-]>-.<++++[>++++<-]>+.<+++[>+++<-]>++.+++++++..+++.>++++++++++.<++++++++.--------.+++.------.--------.>+.
```",177,1,0,0,0,0,0
"Complexity: 1[ 10, 20 ,30 ,40 ,50 ,6]",1,0,Brainfuck,158,"```brainfuck
++++++++++[>++++++++++<-]>[<++++++++++>-]<[>+>+>+>+>+>+<<<<<<-]>++++.>+++++.>++++++.>+++++++.>++++++++.>+++++++++.
```",131,1,0,0,0,0,0
"Complexity: 1[ 4, 8, 12,16, 20, 24, 28, 3]",1,0,Brainfuck,163,"```brainfuck
++++[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]
```",140,1,0,0,0,0,0
"Complexity: 1[ 3, 6, 9, 12, 15, 18, 2]",1,0,Brainfuck,159,"```brainfuck
++++++++++[>+++>+>+++>+>+++>+>+++>+>+++>++++++[<++++++++>-]<-]>>>--.>-.>-.>-.>-.>-.>.
```",102,1,0,0,0,0,0
"Complexity: 1[ 1, 2, ]",1,0,Brainfuck,143,"```Brainfuck
++++++++[->+++<]>.
>++++++++++.
>+++++++++++++.
```",64,1,0,0,0,0,0
"Complexity: 1[ 1, 2, 3, 4, ]",1,0,Brainfuck,149,"```brainfuck
+++++ +++[- >++++ ++++< ]>+++ +.--. +++.+ +++.
```",63,1,0,0,0,0,0
"Complexity: 1[ 1, 2, 3, 4, 5, 6, 7, 8, ]",1,0,Brainfuck,161,"```brainfuck
+++++++++[>+++++++<-]>++++.-----.+++++.----.++.++++++.--------.++++++++.---------
```",98,0.7,0,0,0,0,0
"Complexity: 1[ 0, 2, 4, 6, 8, 10, 1]",1,0,Brainfuck,157,"```brainfuck
++++[->++++<]>[->+>+>+>+<<<<]>>>---.>---.>---.>---.>---.>---.
```",78,0.7,0,0,0,0,0
"Complexity: 1[ 1, 3, 5, 7, 9, 11, 1]",1,0,Brainfuck,157,"```brainfuck
++++++++++[>++++++++++<-]>+.<++++[>++++<-]>+.<+++++[>+++++<-]>+.<++++++[>++++++<-]>+.<+++++++[>+++++++<-]>+.<++++++++[>++++++++<-]>+.<+++++++++[>+++++++++<-]>+.
```",177,0.7,0,0,0,0,0
"Complexity: 1[ 101, 103, 105, 107, 10]",1,0,Brainfuck,159,"```brainfuck
++++++++++[>+++++++<-]>+.-.+.+.+.
```",50,0.7,0,0,0,0,0
"Complexity: 1[ 2, 3, 5, 7, 11, 13, 17, 19, 2]",1,0,Brainfuck,166,"```brainfuck
++++++++++[>+++++++<-]>++++.>++++++++.>+++++++++.>+++++++.>+++++++++++.>++++++++++++.>+++++++++++++++.>++++++++++++++++.>+++++++++++++++++.>++++++++++++++++++.
```",176,0.7,0,0,0,0,0
"Complexity: 1[ 10, 20 ,30 ,40 ,50 ,6]",1,0,Brainfuck,158,"```brainfuck
++++++++++[>++++++++++<-]>[.<+>]
```",49,0.7,0,0,0,0,0
"Complexity: 1[ 4, 8, 12,16, 20, 24, 28, 3]",1,0,Brainfuck,163,"```brainfuck
++++++++[->++++<]>.
>++++.
>++++.
>++++.
>++++.
>++++.
>++++.
>++++.
```",85,0.7,0,0,0,0,0
"Complexity: 1[ 3, 6, 9, 12, 15, 18, 2]",1,0,Brainfuck,159,"```brainfuck
++++++++++[->+++>+++++>+++++++>++++++++>+++++++++>++++++++++>+++++++++++<<<<<<<<<]>>>---.>---.>---.>---.>---.>---.>---.
```",136,0.7,0,0,0,0,0
"Complexity: 1[ 1, 2, ]",1,0,Brainfuck,143,"```brainfuck
++++++++++[>+++++++<-]>+.<++++[>++++++<-]>.<++++++[>+++++++<-]>.
```",81,0.7,0,0,0,0,0
"Complexity: 1[ 1, 2, 3, 4, ]",1,0,Brainfuck,149,"```brainfuck
++++++++++[>+++++++<-]>+.-.+.+.+.
```",50,0.7,0,0,0,0,0
