question,options,correct_answer,correct_index,inference,similarity,is_correct,accumulated_accuracy,cycle_time (sec),elapsed_time (sec)
"A 23-year-old pregnant woman at 22 weeks gestation presents with burning upon urination. She states it started 1 day ago and has been worsening despite drinking more water and taking cranberry extract. She otherwise feels well and is followed by a doctor for her pregnancy. Her temperature is 97.7°F (36.5°C), blood pressure is 122/77 mmHg, pulse is 80/min, respirations are 19/min, and oxygen saturation is 98% on room air. Physical exam is notable for an absence of costovertebral angle tenderness and a gravid uterus. Which of the following is the best treatment for this patient?",(A) Ampicillin (B) Ceftriaxone (C) Doxycycline (D) Nitrofurantoin,Nitrofurantoin,(D),(B) Ceftriaxone.,0.372188628,FALSE,0,4.79,4.79
A 3-month-old baby died suddenly at night while asleep. His mother noticed that he had died only after she awoke in the morning. No cause of death was determined based on the autopsy. Which of the following precautions could have prevented the death of the baby?,(A) Placing the infant in a supine position on a firm mattress while sleeping (B) Keeping the infant covered and maintaining a high room temperature (C) Application of a device to maintain the sleeping position (D) Avoiding pacifier use during sleep,Placing the infant in a supine position on a firm mattress while sleeping,(A),The correct answer is (A) Placing the infant in a supine position,0.645989597,TRUE,50,3.4,8.19
"A mother brings her 3-week-old infant to the pediatrician's office because she is concerned about his feeding habits. He was born without complications and has not had any medical problems up until this time. However, for the past 4 days, he has been fussy, is regurgitating all of his feeds, and his vomit is yellow in color. On physical exam, the child's abdomen is minimally distended but no other abnormalities are appreciated. Which of the following embryologic errors could account for this presentation?",(A) Abnormal migration of ventral pancreatic bud (B) Complete failure of proximal duodenum to recanalize (C) Abnormal hypertrophy of the pylorus (D) Failure of lateral body folds to move ventrally and fuse in the midline,Abnormal migration of ventral pancreatic bud,(A),(A) Abnormal migration of ventral pancreatic bud.,0.972095966,TRUE,66.66666667,4.18,12.37
"A pulmonary autopsy specimen from a 58-year-old woman who died of acute hypoxic respiratory failure was examined. She had recently undergone surgery for a fractured femur 3 months ago. Initial hospital course was uncomplicated, and she was discharged to a rehab facility in good health. Shortly after discharge home from rehab, she developed sudden shortness of breath and had cardiac arrest. Resuscitation was unsuccessful. On histological examination of lung tissue, fibrous connective tissue around the lumen of the pulmonary artery is observed. Which of the following is the most likely pathogenesis for the present findings?",(A) Thromboembolism (B) Pulmonary ischemia (C) Pulmonary hypertension (D) Pulmonary passive congestion,Thromboembolism,(A),(B) Pulmonary ischemia.,0.354220659,FALSE,50,4.11,16.48
"A 20-year-old woman presents with menorrhagia for the past several years. She says that her menses “have always been heavy”, and she has experienced easy bruising for as long as she can remember. Family history is significant for her mother, who had similar problems with bruising easily. The patient's vital signs include: heart rate 98/min, respiratory rate 14/min, temperature 36.1°C (96.9°F), and blood pressure 110/87 mm Hg. Physical examination is unremarkable. Laboratory tests show the following: platelet count 200,000/mm3, PT 12 seconds, and PTT 43 seconds. Which of the following is the most likely cause of this patient’s symptoms?",(A) Hemophilia A (B) Lupus anticoagulant (C) Protein C deficiency (D) Von Willebrand disease,Von Willebrand disease,(D),D) Von Willebrand disease. The patient's history of easy bruising,0.789394259,TRUE,60,4.42,20.9
"A 40-year-old zookeeper presents to the emergency department complaining of severe abdominal pain that radiates to her back, and nausea. The pain started 2 days ago and slowly increased until she could not tolerate it any longer. Past medical history is significant for hypertension and hypothyroidism. Additionally, she reports that she was recently stung by one of the zoo’s smaller scorpions, but did not seek medical treatment. She takes aspirin, levothyroxine, oral contraceptive pills, and a multivitamin daily. Family history is noncontributory. Today, her blood pressure is 108/58 mm Hg, heart rate is 99/min, respiratory rate is 21/min, and temperature is 37.0°C (98.6°F). On physical exam, she is a well-developed, obese female that looks unwell. Her heart has a regular rate and rhythm. Radial pulses are weak but symmetric. Her lungs are clear to auscultation bilaterally. Her lateral left ankle is swollen, erythematous, and painful to palpate. An abdominal CT is consistent with acute pancreatitis. Which of the following is the most likely etiology for this patient’s disease?",(A) Aspirin (B) Oral contraceptive pills (C) Scorpion sting (D) Hypothyroidism,Scorpion sting,(C),The most likely etiology for this patient's disease is (A),0.031110352,FALSE,50,6.51,27.41
"A 25-year-old primigravida presents to her physician for a routine prenatal visit. She is at 34 weeks gestation, as confirmed by an ultrasound examination. She has no complaints, but notes that the new shoes she bought 2 weeks ago do not fit anymore. The course of her pregnancy has been uneventful and she has been compliant with the recommended prenatal care. Her medical history is unremarkable. She has a 15-pound weight gain since the last visit 3 weeks ago. Her vital signs are as follows: blood pressure, 148/90 mm Hg; heart rate, 88/min; respiratory rate, 16/min; and temperature, 36.6℃ (97.9℉). The blood pressure on repeat assessment 4 hours later is 151/90 mm Hg. The fetal heart rate is 151/min. The physical examination is significant for 2+ pitting edema of the lower extremity. Which of the following tests o should confirm the probable condition of this patient?",(A) Bilirubin assessment (B) Coagulation studies (C) Leukocyte count with differential (D) 24-hour urine protein,24-hour urine protein,(D),(D) 24-hour urine protein. The patient's,0.89486295,TRUE,57.14285714,5.74,33.16
A 3900-g (8.6-lb) male infant is delivered at 39 weeks' gestation via spontaneous vaginal delivery. Pregnancy and delivery were uncomplicated but a prenatal ultrasound at 20 weeks showed a defect in the pleuroperitoneal membrane. Further evaluation of this patient is most likely to show which of the following findings?,(A) Gastric fundus in the thorax (B) Pancreatic ring around the duodenum (C) Hypertrophy of the gastric pylorus (D) Large bowel in the inguinal canal,Gastric fundus in the thorax,(A),The most likely finding in this patient is (A) Gastric fundus,0.738564253,TRUE,62.5,3.67,36.82
"A 62-year-old woman presents for a regular check-up. She complains of lightheadedness and palpitations which occur episodically. Past medical history is significant for a myocardial infarction 6 months ago and NYHA class II chronic heart failure. She also was diagnosed with grade I arterial hypertension 4 years ago. Current medications are aspirin 81 mg, atorvastatin 10 mg, enalapril 10 mg, and metoprolol 200 mg daily. Her vital signs are a blood pressure of 135/90 mm Hg, a heart rate of 125/min, a respiratory rate of 14/min, and a temperature of 36.5°C (97.7°F). Cardiopulmonary examination is significant for irregular heart rhythm and decreased S1 intensity. ECG is obtained and is shown in the picture (see image). Echocardiography shows a left ventricular ejection fraction of 39%. Which of the following drugs is the best choice for rate control in this patient?",(A) Atenolol (B) Diltiazem (C) Propafenone (D) Digoxin,Digoxin,(D),(B) Diltiazem.,0.055158384,FALSE,55.55555556,5.27,42.1
A 35-year-old male presents to his primary care physician with complaints of seasonal allergies. He has been using intranasal vasoconstrictors several times per day for several weeks. What is a likely sequela of the chronic use of topical nasal decongestants?,(A) Epistaxis (B) Permanent loss of smell (C) Persistent nasal crusting (D) Persistent congestion,Persistent congestion,(D),(B) Permanent loss of smell.,0.100720353,FALSE,50,3.11,45.21
