case,Measure,complexity,grok-3,deepseek,qwen,gemini,claude-3-5-sonnet,chatgpt-4o,mistral,meta,o1_mini,cursor_small,chatgpt-o1,grok,gemini-thinking,chatgpt-4.5,gpt-4o-mini,gemini-2.5-pro,claude-3.7,deepseek_r1_0525,llama_4_scout,qwen3,chatgpt_5,opus_4,mistral_large2405,claude_sonnet_4,grok_4.1,gpt-5.2,claude-4.5,mistral-large-3,gemini-3-pro,chatgpt_4.5,claude_3.5,gpt_4o,o1_preview,grok_3,claude_3.7,gpt_4o_mini,grok4,gemini_2.5_pro,deepseek_r1_0528
multiple formulae,Accuracy,1,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,86.66666666666667,83.33333333333333,100.0,70.0,56.666666666666664,96.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,73.33333333333333,86.66666666666667,70.0,100.0
multiple formulae,Accuracy,2,0.0,63.333333333333336,46.666666666666664,33.333333333333336,0.0,0.0,16.666666666666668,23.333333333333332,53.333333333333336,43.333333333333336,0.0,56.666666666666664,56.666666666666664,0.0,0.0,0.0,0.0,0.0,36.666666666666664,23.333333333333332,23.333333333333332,16.666666666666668,36.666666666666664,23.333333333333332,36.666666666666664,43.333333333333336,53.333333333333336,46.666666666666664,63.333333333333336,36.666666666666664,43.333333333333336,46.666666666666664,50.0,53.333333333333336,23.333333333333332,33.333333333333336,16.666666666666668,26.666666666666668,26.666666666666668
multiple formulae,Accuracy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple formulae,Equivalence,1,0.0,6.666666666666667,100.0,43.333333333333336,0.0,0.0,0.0,80.0,80.0,96.66666666666667,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,20.0,53.333333333333336,43.333333333333336,3.3333333333333335,56.666666666666664,100.0,100.0,36.666666666666664,100.0,100.0,36.666666666666664,100.0,40.0,100.0,93.33333333333333,20.0,13.333333333333334,16.666666666666668,20.0,50.0
multiple formulae,Equivalence,2,0.0,50.0,96.66666666666667,53.333333333333336,0.0,0.0,50.0,56.666666666666664,76.66666666666667,83.33333333333333,0.0,33.333333333333336,73.33333333333333,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,20.0,33.333333333333336,13.333333333333334,0.0,40.0,76.66666666666667,73.33333333333333,40.0,76.66666666666667,86.66666666666667,20.0,63.333333333333336,56.666666666666664,46.666666666666664,40.0,3.3333333333333335,6.666666666666667,20.0,6.666666666666667,23.333333333333332
multiple formulae,Equivalence,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,33.333333333333336,0.0,0.0,23.333333333333332,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,10.0,6.666666666666667,20.0
multiple formulae,Known sequence,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0
multiple formulae,Known sequence,2,0.0,17.0,10.0,15.0,0.0,0.0,0.0,11.0,6.0,8.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,7.0,8.0,6.0,10.0,4.0,13.0,11.0,8.0,13.0,5.0,12.0,2.0,6.0,4.0,5.0,1.0,2.0,6.0
multiple formulae,Known sequence,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
multiple formulae,Not found,1,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,56.0,1.0,33.0,173.0,0.0,29.0,19.0,0.0,0.0,0.0,22.0,30.0,30.0,0.0,1.0,2.0,6.0,34.0,52.0
