complexity,language,percentages,avg_answer_len,norm_avg_answer_len,compressed_avg_len,compressed_norm_avg_len,compressed_seq_avg_len,no_compression_percentage,p_percentages,p_avg_answer_len,p_norm_avg_answer_len,p_compressed_avg_len,p_compressed_norm_avg_len,p_compressed_seq_avg_len,p_no_compression_percentage,c_percentages,c_avg_answer_len,c_norm_avg_answer_len,c_compressed_avg_len,c_compressed_norm_avg_len,c_compressed_seq_avg_len,c_no_compression_percentage,cnp_percentages,cnp_avg_answer_len,cnp_norm_avg_answer_len,cnp_compressed_avg_len,cnp_compressed_norm_avg_len,cnp_compressed_seq_avg_len,cnp_no_compression_percentage,ip_percentages,ip_avg_answer_len,ip_norm_avg_answer_len,ip_compressed_avg_len,ip_compressed_norm_avg_len,ip_compressed_seq_avg_len,ip_no_compression_percentage,p_c_percentages,p_c_avg_answer_len,p_c_norm_avg_answer_len,p_c_compressed_avg_len,p_c_compressed_norm_avg_len,p_c_compressed_seq_avg_len,p_c_no_compression_percentage
1,Mathematica,100.0,34.88,34.88,80.24,80.24,73.73333333333333,18.666666666666668,16.610169491525422,,,,,,,43.220338983050844,34.88,34.88,80.24,80.24,73.73333333333333,18.666666666666668,43.220338983050844,34.88,34.88,80.24,80.24,73.73333333333333,18.666666666666668,16.610169491525422,,,,,,,0.1694915254237288,,,,,,
2,Mathematica,100.0,60.586666666666666,60.586666666666666,122.77333333333333,122.77333333333333,76.93333333333334,13.833333333333334,16.610169491525422,,,,,,,43.220338983050844,40.86153846153846,40.86153846153846,92.03076923076924,92.03076923076924,81.75384615384615,8.0,43.220338983050844,40.86153846153846,40.86153846153846,92.03076923076924,92.03076923076924,81.75384615384615,8.0,16.610169491525422,,,,,,,0.1694915254237288,,,,,,
3,Mathematica,100.0,64.32142857142857,63.32142857142857,131.31428571428572,129.61428571428573,63.07142857142857,28.476190476190478,16.610169491525422,58.6,30.6,120.8,73.2,62.0,100.0,43.220338983050844,47.8974358974359,47.8974358974359,105.84615384615384,105.84615384615384,71.53846153846153,9.743589743589743,43.220338983050844,47.8974358974359,47.8974358974359,105.84615384615384,105.84615384615384,71.53846153846153,9.743589743589743,16.610169491525422,58.6,30.6,120.8,73.2,62.0,100.0,0.1694915254237288,,,,,,
4,Mathematica,100.0,73.94,45.67333333333333,146.37333333333333,100.68,87.66666666666667,65.26666666666667,16.610169491525422,77.58064516129032,31.989247311827956,149.72043010752688,76.02150537634408,88.0,100.0,43.220338983050844,67.0,67.0,128.0,128.0,90.0,100.0,43.220338983050844,67.0,67.0,128.0,128.0,90.0,100.0,16.610169491525422,77.58064516129032,31.989247311827956,149.72043010752688,76.02150537634408,88.0,100.0,0.1694915254237288,,,,,,
1,Matlab,100.0,40.946666666666665,40.946666666666665,93.88,93.88,73.73333333333333,18.533333333333335,31.016949152542374,,,,,,,70.33898305084746,41.229729729729726,41.229729729729726,94.39189189189189,94.39189189189189,73.75675675675676,18.37837837837838,42.20338983050848,41.229729729729726,41.229729729729726,94.39189189189189,94.39189189189189,73.75675675675676,18.37837837837838,2.8813559322033897,,,,,,,28.135593220338983,,,,,,
2,Matlab,100.0,139.74,136.7,182.92,178.18666666666667,77.06666666666666,25.533333333333335,31.016949152542374,71.72727272727273,30.272727272727273,140.0,75.45454545454545,77.27272727272727,100.0,70.33898305084746,138.71641791044777,137.1492537313433,180.2089552238806,177.7910447761194,74.86567164179104,17.761194029850746,42.20338983050848,142.21875,142.21875,182.65625,182.65625,75.1875,13.90625,2.8813559322033897,74.625,30.75,144.5,76.0,80.75,100.0,28.135593220338983,64.0,29.0,128.0,74.0,68.0,100.0
3,Matlab,100.0,139.29285714285714,133.89285714285714,184.9857142857143,176.87142857142857,63.07142857142857,42.875,31.016949152542374,73.69565217391305,40.82608695652174,137.2173913043478,87.82608695652173,65.3913043478261,100.0,70.33898305084746,116.7843137254902,109.19607843137256,165.9607843137255,153.64705882352942,67.56862745098039,42.35294117647059,42.20338983050848,134.78378378378378,134.78378378378378,178.16216216216216,178.16216216216216,69.94594594594595,20.54054054054054,2.8813559322033897,80.66666666666667,39.666666666666664,142.66666666666666,86.22222222222223,71.77777777777777,100.0,28.135593220338983,69.21428571428571,41.57142857142857,133.71428571428572,88.85714285714286,61.285714285714285,100.0
4,Matlab,100.0,87.34666666666666,41.873333333333335,160.32,88.45333333333333,87.66666666666667,99.4,31.016949152542374,86.77852348993288,41.0,160.28187919463087,87.93288590604027,87.6510067114094,100.0,70.33898305084746,86.77852348993288,41.0,160.28187919463087,87.93288590604027,87.6510067114094,100.0,42.20338983050848,,,,,,,2.8813559322033897,,,,,,,28.135593220338983,86.77852348993288,41.0,160.28187919463087,87.93288590604027,87.6510067114094,100.0
1,Python,100.0,51.593333333333334,51.593333333333334,114.54666666666667,114.54666666666667,73.73333333333333,10.0,27.28813559322034,,,,,,,40.16949152542373,51.593333333333334,51.593333333333334,114.54666666666667,114.54666666666667,73.73333333333333,10.0,37.6271186440678,51.593333333333334,51.593333333333334,114.54666666666667,114.54666666666667,73.73333333333333,10.0,24.74576271186441,,,,,,,2.542372881355932,,,,,,
2,Python,100.0,160.33333333333334,159.62666666666667,214.58666666666667,213.49333333333334,76.93333333333334,22.8,27.28813559322034,95.66666666666667,60.333333333333336,180.66666666666666,126.0,88.66666666666667,73.33333333333333,40.16949152542373,87.54,85.42,146.56,143.28,83.28,24.8,37.6271186440678,86.89583333333333,86.89583333333333,144.58333333333334,144.58333333333334,82.58333333333333,21.666666666666668,24.74576271186441,81.0,81.0,154.0,154.0,66.0,20.0,2.542372881355932,103.0,50.0,194.0,112.0,100.0,100.0
3,Python,100.0,158.27857142857144,151.05,213.42857142857142,206.57142857142858,63.07142857142857,38.720238095238095,27.28813559322034,99.8,49.2,150.1,102.1,65.0,100.0,40.16949152542373,63.81481481481482,56.74074074074074,129.4814814814815,122.96296296296296,73.18518518518519,20.37037037037037,37.6271186440678,55.208333333333336,55.208333333333336,121.08333333333333,121.08333333333333,72.83333333333333,10.416666666666666,24.74576271186441,94.0,45.705882352941174,141.88235294117646,95.76470588235294,63.05882352941177,100.0,2.542372881355932,132.66666666666666,69.0,196.66666666666666,138.0,76.0,100.0
4,Python,100.0,91.54666666666667,44.13333333333333,157.38666666666666,91.16,87.66666666666667,92.93333333333334,27.28813559322034,89.94202898550725,38.405797101449274,156.231884057971,84.2463768115942,87.4927536231884,100.0,40.16949152542373,121.2,61.3,194.0,122.2,87.8,100.0,37.6271186440678,,,,,,,24.74576271186441,87.5,36.6171875,153.28125,81.28125,87.46875,100.0,2.542372881355932,121.2,61.3,194.0,122.2,87.8,100.0
1,ArnoldC,3.2203389830508473,353.125,353.125,387.5,387.5,74.0,15.0,3.8983050847457625,432.0,432.0,428.0,428.0,70.0,20.0,3.2203389830508473,353.125,353.125,387.5,387.5,74.0,15.0,1.694915254237288,353.125,353.125,387.5,387.5,74.0,15.0,2.3728813559322033,432.0,432.0,428.0,428.0,70.0,20.0,1.5254237288135593,,,,,,
2,ArnoldC,3.2203389830508473,467.0,467.0,428.0,428.0,88.0,20.0,3.8983050847457625,1192.0,1192.0,583.5,583.5,76.5,80.0,3.2203389830508473,467.0,467.0,428.0,428.0,88.0,20.0,1.694915254237288,467.0,467.0,428.0,428.0,88.0,20.0,2.3728813559322033,1192.0,1192.0,583.5,583.5,76.5,80.0,1.5254237288135593,,,,,,
3,ArnoldC,3.2203389830508473,864.0,864.0,454.0,454.0,73.0,55.0,3.8983050847457625,1230.4,1230.4,505.6,505.6,66.0,100.0,3.2203389830508473,864.0,864.0,454.0,454.0,73.0,55.0,1.694915254237288,344.0,344.0,392.0,392.0,84.0,10.0,2.3728813559322033,1192.0,1192.0,503.0,503.0,67.0,100.0,1.5254237288135593,1384.0,1384.0,516.0,516.0,62.0,100.0
4,ArnoldC,3.2203389830508473,901.375,901.375,431.0,431.0,87.5,100.0,3.8983050847457625,1175.1538461538462,1175.1538461538462,531.5384615384615,531.5384615384615,88.15384615384616,100.0,3.2203389830508473,901.375,901.375,431.0,431.0,87.5,100.0,1.694915254237288,,,,,,,2.3728813559322033,1613.2,1613.2,692.4,692.4,89.2,100.0,1.5254237288135593,901.375,901.375,431.0,431.0,87.5,100.0
