question,options,correct_answer,correct_index,inference,similarity,is_correct,accumulated_accuracy,cycle_time (sec),elapsed_time (sec)
"A 23-year-old pregnant woman at 22 weeks gestation presents with burning upon urination. She states it started 1 day ago and has been worsening despite drinking more water and taking cranberry extract. She otherwise feels well and is followed by a doctor for her pregnancy. Her temperature is 97.7°F (36.5°C), blood pressure is 122/77 mmHg, pulse is 80/min, respirations are 19/min, and oxygen saturation is 98% on room air. Physical exam is notable for an absence of costovertebral angle tenderness and a gravid uterus. Which of the following is the best treatment for this patient?",(A) Ampicillin (B) Ceftriaxone (C) Doxycycline (D) Nitrofurantoin,Nitrofurantoin,(D),(D) Nitrofurantoin,0.944037914276123,True,100.0,57.2,57.2
A 3-month-old baby died suddenly at night while asleep. His mother noticed that he had died only after she awoke in the morning. No cause of death was determined based on the autopsy. Which of the following precautions could have prevented the death of the baby?,(A) Placing the infant in a supine position on a firm mattress while sleeping (B) Keeping the infant covered and maintaining a high room temperature (C) Application of a device to maintain the sleeping position (D) Avoiding pacifier use during sleep,Placing the infant in a supine position on a firm mattress while sleeping,(A),(A) Placing the infant in a supine position on a firm mat,0.7371572256088257,True,100.0,17.56,74.76
"A mother brings her 3-week-old infant to the pediatrician's office because she is concerned about his feeding habits. He was born without complications and has not had any medical problems up until this time. However, for the past 4 days, he has been fussy, is regurgitating all of his feeds, and his vomit is yellow in color. On physical exam, the child's abdomen is minimally distended but no other abnormalities are appreciated. Which of the following embryologic errors could account for this presentation?",(A) Abnormal migration of ventral pancreatic bud (B) Complete failure of proximal duodenum to recanalize (C) Abnormal hypertrophy of the pylorus (D) Failure of lateral body folds to move ventrally and fuse in the midline,Abnormal migration of ventral pancreatic bud,(A),(A) Abnormal migration of ventral pancreatic budThe mother brings,0.8728080987930298,True,100.0,19.28,94.04
"A pulmonary autopsy specimen from a 58-year-old woman who died of acute hypoxic respiratory failure was examined. She had recently undergone surgery for a fractured femur 3 months ago. Initial hospital course was uncomplicated, and she was discharged to a rehab facility in good health. Shortly after discharge home from rehab, she developed sudden shortness of breath and had cardiac arrest. Resuscitation was unsuccessful. On histological examination of lung tissue, fibrous connective tissue around the lumen of the pulmonary artery is observed. Which of the following is the most likely pathogenesis for the present findings?",(A) Thromboembolism (B) Pulmonary ischemia (C) Pulmonary hypertension (D) Pulmonary passive congestion,Thromboembolism,(A),(B) Pulmonary ischemia,0.35510674118995667,False,75.0,42.19,136.24
"A 20-year-old woman presents with menorrhagia for the past several years. She says that her menses “have always been heavy”, and she has experienced easy bruising for as long as she can remember. Family history is significant for her mother, who had similar problems with bruising easily. The patient's vital signs include: heart rate 98/min, respiratory rate 14/min, temperature 36.1°C (96.9°F), and blood pressure 110/87 mm Hg. Physical examination is unremarkable. Laboratory tests show the following: platelet count 200,000/mm3, PT 12 seconds, and PTT 43 seconds. Which of the following is the most likely cause of this patient’s symptoms?",(A) Hemophilia A (B) Lupus anticoagulant (C) Protein C deficiency (D) Von Willebrand disease,Von Willebrand disease,(D),"D, Von Willebrand disease.Von Willebrand disease (VWD)",0.9411607980728149,True,80.0,43.31,179.55
"A 40-year-old zookeeper presents to the emergency department complaining of severe abdominal pain that radiates to her back, and nausea. The pain started 2 days ago and slowly increased until she could not tolerate it any longer. Past medical history is significant for hypertension and hypothyroidism. Additionally, she reports that she was recently stung by one of the zoo’s smaller scorpions, but did not seek medical treatment. She takes aspirin, levothyroxine, oral contraceptive pills, and a multivitamin daily. Family history is noncontributory. Today, her blood pressure is 108/58 mm Hg, heart rate is 99/min, respiratory rate is 21/min, and temperature is 37.0°C (98.6°F). On physical exam, she is a well-developed, obese female that looks unwell. Her heart has a regular rate and rhythm. Radial pulses are weak but symmetric. Her lungs are clear to auscultation bilaterally. Her lateral left ankle is swollen, erythematous, and painful to palpate. An abdominal CT is consistent with acute pancreatitis. Which of the following is the most likely etiology for this patient’s disease?",(A) Aspirin (B) Oral contraceptive pills (C) Scorpion sting (D) Hypothyroidism,Scorpion sting,(C),C) Scorpion sting,0.9486269950866699,True,83.33333333333334,60.94,240.49
"A 25-year-old primigravida presents to her physician for a routine prenatal visit. She is at 34 weeks gestation, as confirmed by an ultrasound examination. She has no complaints, but notes that the new shoes she bought 2 weeks ago do not fit anymore. The course of her pregnancy has been uneventful and she has been compliant with the recommended prenatal care. Her medical history is unremarkable. She has a 15-pound weight gain since the last visit 3 weeks ago. Her vital signs are as follows: blood pressure, 148/90 mm Hg; heart rate, 88/min; respiratory rate, 16/min; and temperature, 36.6℃ (97.9℉). The blood pressure on repeat assessment 4 hours later is 151/90 mm Hg. The fetal heart rate is 151/min. The physical examination is significant for 2+ pitting edema of the lower extremity. Which of the following tests o should confirm the probable condition of this patient?",(A) Bilirubin assessment (B) Coagulation studies (C) Leukocyte count with differential (D) 24-hour urine protein,24-hour urine protein,(D),D 24-hour urine protein.Explanation: The probable,0.8739616870880127,True,85.71428571428571,43.52,284.01
A 3900-g (8.6-lb) male infant is delivered at 39 weeks' gestation via spontaneous vaginal delivery. Pregnancy and delivery were uncomplicated but a prenatal ultrasound at 20 weeks showed a defect in the pleuroperitoneal membrane. Further evaluation of this patient is most likely to show which of the following findings?,(A) Gastric fundus in the thorax (B) Pancreatic ring around the duodenum (C) Hypertrophy of the gastric pylorus (D) Large bowel in the inguinal canal,Gastric fundus in the thorax,(A),(A) Gastric fundus in the thoraxThe correct answer is,0.9027965068817139,True,87.5,25.48,309.49
"A 62-year-old woman presents for a regular check-up. She complains of lightheadedness and palpitations which occur episodically. Past medical history is significant for a myocardial infarction 6 months ago and NYHA class II chronic heart failure. She also was diagnosed with grade I arterial hypertension 4 years ago. Current medications are aspirin 81 mg, atorvastatin 10 mg, enalapril 10 mg, and metoprolol 200 mg daily. Her vital signs are a blood pressure of 135/90 mm Hg, a heart rate of 125/min, a respiratory rate of 14/min, and a temperature of 36.5°C (97.7°F). Cardiopulmonary examination is significant for irregular heart rhythm and decreased S1 intensity. ECG is obtained and is shown in the picture (see image). Echocardiography shows a left ventricular ejection fraction of 39%. Which of the following drugs is the best choice for rate control in this patient?",(A) Atenolol (B) Diltiazem (C) Propafenone (D) Digoxin,Digoxin,(D),(A) AtenololThe best drug for rate control in this patient,0.24492625892162323,False,77.77777777777779,29.1,338.59
A 35-year-old male presents to his primary care physician with complaints of seasonal allergies. He has been using intranasal vasoconstrictors several times per day for several weeks. What is a likely sequela of the chronic use of topical nasal decongestants?,(A) Epistaxis (B) Permanent loss of smell (C) Persistent nasal crusting (D) Persistent congestion,Persistent congestion,(D),(B) Permanent loss of smellThe question is asking for a,0.08424994349479675,False,70.0,20.07,358.67
"A 46-year-old woman comes to the physician because of a 2-week history of diplopia and ocular pain when reading the newspaper. She also has a 3-month history of amenorrhea, hot flashes, and increased sweating. She reports that she has been overweight all her adult life and is happy to have lost 6.8-kg (15-lb) of weight in the past 2 months. Her pulse is 110/min, and blood pressure is 148/98 mm Hg. Physical examination shows moist palms and a nontender thyroid gland that is enlarged to two times its normal size. Ophthalmologic examination shows prominence of the globes of the eyes, bilateral lid retraction, conjunctival injection, and an inability to converge the eyes. There is no pain on movement of the extraocular muscles. Visual acuity is 20/20 bilaterally. Neurologic examination shows a fine resting tremor of the hands. Deep tendon reflexes are 3+ with a shortened relaxation phase. Which of the following is the most likely cause of this patient's ocular complaints?","(A) Granulomatous inflammation of the cavernous sinus (B) Abnormal communication between the cavernous sinus and the internal carotid artery (C) Glycosaminoglycan accumulation in the orbit (D) Sympathetic hyperactivity of levator palpebrae superioris
""",Glycosaminoglycan accumulation in the orbit,(C),(A) Granulomatous inflammation of the cavernous,0.3285822868347168,False,63.63636363636363,35.67,394.34
"A 1-year-old boy presents to the emergency department with weakness and a change in his behavior. His parents state that they first noticed the change in his behavior this morning and it has been getting worse. They noticed the patient was initially weak in his upper body and arms, but now he won’t move his legs with as much strength or vigor as he used to. Physical exam is notable for bilateral ptosis with a sluggish pupillary response, a very weak sucking and gag reflex, and shallow respirations. The patient is currently drooling and his diaper is dry. The parents state he has not had a bowel movement in over 1 day. Which of the following is the pathophysiology of this patient’s condition?",(A) Autoantibodies against the presynaptic voltage-gated calcium channels (B) Autoimmune demyelination of peripheral nerves (C) Blockade of presynaptic acetylcholine release at the neuromuscular junction (D) Lower motor neuron destruction in the anterior horn,Blockade of presynaptic acetylcholine release at the neuromuscular junction,(C),The pathophysiology of this patient's condition is blockade of,0.3017125129699707,False,58.333333333333336,26.86,421.2
"A 9-month-old female is brought to the emergency department after experiencing a seizure. She was born at home and was normal at birth according to her parents. Since then, they have noticed that she does not appear to be achieving developmental milestones as quickly as her siblings, and often appears lethargic. Physical exam reveals microcephaly, very light pigmentation (as compared to her family), and a ""musty"" body odor. The varied manifestations of this disease can most likely be attributed to which of the following genetic principles?",(A) Anticipation (B) Multiple gene mutations (C) Pleiotropy (D) Variable expressivity,Pleiotropy,(C),"(B) Multiple gene mutationsThe correct answer is option B, Multiple gene",0.14408764243125916,False,53.84615384615385,16.99,438.19
"A 23-year-old man comes to the physician for evaluation of decreased hearing, dizziness, and ringing in his right ear for the past 6 months. Physical examination shows multiple soft, yellow plaques and papules on his arms, chest, and back. There is sensorineural hearing loss and weakness of facial muscles bilaterally. His gait is unsteady. An MRI of the brain shows a 3-cm mass near the right internal auditory meatus and a 2-cm mass at the left cerebellopontine angle. The abnormal cells in these masses are most likely derived from which of the following embryological structures?",(A) Neural tube (B) Surface ectoderm (C) Neural crest (D) Notochord,Neural crest,(C),"Question: A 23-year-old man comes to the physician for evaluation of decreased hearing, dizziness, and ringing in his right ear for the past 6 months. Physical examination shows multiple soft, yellow plaques and papules on his arms, chest, and back. There is sensorineural hearing loss and weakness of facial muscles bilaterally. His gait is unsteady. An MRI of the brain shows a 3-cm mass near the right internal auditory meatus and a 2-cm mass at the left cerebellopontine angle. The abnormal cells in these masses are most likely derived from which of the following embryological structures?. Options: (A) Neural tube (B) Surface ectoderm (C) Neural crest (D) Notochord. Answer:The correct answer is (C) Neural crest.",0.24891617894172668,True,57.14285714285714,18.29,456.48
"A 62-year-old woman comes to the physician because of coughing and fatigue during the past 2 years. In the morning, the cough is productive of white phlegm. She becomes short of breath walking up a flight of stairs. She has hypertension and hyperlipidemia. She has recently retired from working as a nurse at a homeless shelter. She has smoked 1 pack of cigarettes daily for 40 years. Current medications include ramipril and fenofibrate. Her temperature is 36.5°C (97.7°F), respirations are 24/min, pulse is 85/min, and blood pressure is 140/90 mm Hg. Scattered wheezing and rhonchi are heard throughout both lung fields. There are no murmurs, rubs, or gallops but heart sounds are distant. Which of the following is the most likely underlying cause of this patient's symptoms?","(A) Chronic decrease in pulmonary compliance (B) Local accumulation of kinins (C) Progressive obstruction of expiratory airflow (D) Incremental loss of functional residual capacity
""",Progressive obstruction of expiratory airflow,(C),The most likely underlying cause of this patient's symptoms is (C),0.28827962279319763,True,60.0,24.1,480.59
"A 68-year-old man presents to the emergency department with leg pain. He states that the pain started suddenly while he was walking outside. The patient has a past medical history of diabetes, hypertension, obesity, and atrial fibrillation. His temperature is 99.3°F (37.4°C), blood pressure is 152/98 mmHg, pulse is 97/min, respirations are 15/min, and oxygen saturation is 99% on room air. Physical exam is notable for a cold and pale left leg. The patient’s sensation is markedly diminished in the left leg when compared to the right, and his muscle strength is 1/5 in his left leg. Which of the following is the best next step in management?",(A) Graded exercise and aspirin (B) Heparin drip (C) Surgical thrombectomy (D) Tissue plasminogen activator,Heparin drip,(B),(B) Heparin dripThe correct answer is (B) He,0.7554671764373779,True,62.5,20.2,500.79
"A 76-year-old African American man presents to his primary care provider complaining of urinary frequency. He wakes up 3-4 times per night to urinate while he previously only had to wake up once per night. He also complains of post-void dribbling and difficulty initiating a stream of urine. He denies any difficulty maintaining an erection. His past medical history is notable for non-alcoholic fatty liver disease, hypertension, hyperlipidemia, and gout. He takes aspirin, atorvastatin, enalapril, and allopurinol. His family history is notable for prostate cancer in his father and lung cancer in his mother. He has a 15-pack-year smoking history and drinks alcohol socially. On digital rectal exam, his prostate is enlarged, smooth, and non-tender. Which of the following medications is indicated in this patient?",(A) Hydrochlorothiazide (B) Midodrine (C) Oxybutynin (D) Tamsulosin,Tamsulosin,(D),(D) Tamsulosin.Tamsulosin is a medication,0.916425883769989,True,64.70588235294117,25.08,525.87
"A 68-year-old man comes to the physician because of recurrent episodes of nausea and abdominal discomfort for the past 4 months. The discomfort is located in the upper abdomen and sometimes occurs after eating, especially after a big meal. He has tried to go for a walk after dinner to help with digestion, but his complaints have only increased. For the past 3 weeks he has also had symptoms while climbing the stairs to his apartment. He has type 2 diabetes mellitus, hypertension, and stage 2 peripheral arterial disease. He has smoked one pack of cigarettes daily for the past 45 years. He drinks one to two beers daily and occasionally more on weekends. His current medications include metformin, enalapril, and aspirin. He is 168 cm (5 ft 6 in) tall and weighs 126 kg (278 lb); BMI is 45 kg/m2. His temperature is 36.4°C (97.5°F), pulse is 78/min, and blood pressure is 148/86 mm Hg. On physical examination, the abdomen is soft and nontender with no organomegaly. Foot pulses are absent bilaterally. An ECG shows no abnormalities. Which of the following is the most appropriate next step in diagnosis?",(A) Esophagogastroduodenoscopy (B) Hydrogen breath test (C) Cardiac stress test (D) Abdominal ultrasonography of the right upper quadrant,Cardiac stress test,(C),(A) Esophagogastroduodenoscopy,0.16759634017944336,False,61.111111111111114,30.94,556.81
