sequence,complexity,Fuckbrain,Brainfuck,python,Pseudocode,Malbolge,Shakespeare,Whitespace,Befunge,LOLCODE,INTERCAL
"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1,[FUck],[>++++[-<+++++>]<.],"[print(*range(1, 10), sep="", "")]","[Set n = 1
Repeat 9 times:
    Print n
    Increment n by 1]","""(=<`#9]~6ZYXWVUTSRQPONMLKJIHGFEDCBA@?>=<;:9876543s+)(*&%$#""!""","""The Cat:
  Am I better than you? You is a number. 
  You are 1.
  Be you nicer of 9? If so, let us proceed.

  Lady:
    Open your heart.

    You is the sum of me and a cat.
    Open your heart.
    You is the sum of me and 1.

    You is the difference between you and me.

    If not, you is a cat.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""1>        v
 @.10+\1- <""","""HAI 1.2
VISIBLE ""1""
VISIBLE ""2""
VISIBLE ""3""
VISIBLE ""4""
VISIBLE ""5""
VISIBLE ""6""
VISIBLE ""7""
VISIBLE ""8""
VISIBLE ""9""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(1) #1
PLEASE GIVE UP"""
"[0, 2, 4, 6, 8, 10, 12]",1,"[FUck
FUckFUck]",[>++[->+++++<]>.],"[print(*range(0, 13, 2), sep="", "")]","[Set n = 0
Repeat 7 times:
    Print n
    Increment n by 2]","""(=BA#)9]~6ZYXWVUTSRQPONMLKJIHGFEDCBA@?>=<;:9876543s+)(*&%$#""!""","""The Cat:
  Am I better than you? You is a number. 
  You are 0.
  Be you nicer of 12? If so, let us proceed.

  Lady:
    Open your heart.

    You is the sum of me and a cat.
    Open your heart.
    You is the sum of me and 2.

    You is the difference between you and me.

    If not, you is a cat.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""0>        v
 @.20+\2- <""","""HAI 1.2
VISIBLE ""0""
VISIBLE ""2""
VISIBLE ""4""
VISIBLE ""6""
VISIBLE ""8""
VISIBLE ""10""
VISIBLE ""12""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(2) #2
PLEASE GIVE UP"""
"[1, 3, 5, 7, 9, 11, 13]",1,"[FUck
FUCk]",[>+[>+>+<<-]>>[<<+>>-]<.],"[print(*range(1, 14, 2), sep="", "")]","[Set n = 1
Repeat 7 times:
    Print n
    Increment n by 2]","""(=<`!)+&%$#`""!zyxwv""","""The Cat:
  Am I better than you? You is a number. 
  You are 1.
  Be you nicer of 13? If so, let us proceed.

  Lady:
    Open your heart.

    You is the sum of me and a cat.
    Open your heart.
    You is the sum of me and 2.

    You is the difference between you and me.

    If not, you is a cat.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""1v         <
 @.20+\2-^""","""HAI 1.2
VISIBLE ""1""
VISIBLE ""3""
VISIBLE ""5""
VISIBLE ""7""
VISIBLE ""9""
VISIBLE ""11""
VISIBLE ""13""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(1) #1
DO READ OUT(3) #3
DO READ OUT(5) #5
DO READ OUT(7) #7
DO READ OUT(9) #9
DO READ OUT(11) #11
DO READ OUT(13) #13
PLEASE GIVE UP"""
"[101, 103, 105, 107, 109]",1,[FUckFUckFUck],[>++++++[-<+++++++>]<+.],"[print(*range(101, 110, 2), sep="", "")]","[Set n = 101
Repeat 5 times:
    Print n
    Increment n by 2]","(*0""!zyxwvutsrqpon","""The Cat:
  Am I better than you? You is a number. 
  You are 101.
  Be you nicer of 109? If so, let us proceed.

  Lady:
    Open your heart.

    You is the sum of me and a cat.
    Open your heart.
    You is the sum of me and 2.

    You is the difference between you and me.

    If not, you is a cat.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""101v         <
   @.20+\2-^""","""HAI 1.2
VISIBLE ""101""
VISIBLE ""103""
VISIBLE ""105""
VISIBLE ""107""
VISIBLE ""109""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(101) #101
DO READ OUT(103) #103
DO READ OUT(105) #105
DO READ OUT(107) #107
DO READ OUT(109) #109
PLEASE GIVE UP"""
"[2, 3, 5, 7, 11, 13, 17, 19, 23]",1,"[FUCk
FUCK]",[>+>+>++>++[<[->+<]>[<]>-]<<<<<<+.],"[primes = [2, 3, 5, 7, 11, 13, 17, 19, 23]
print(*primes, sep="", "")]","[Set primes = [2, 3, 5, 7, 11, 13, 17, 19, 23]
For each prime in primes:
    Print prime]",(=<`#9]~6;9>?=<;:87,"""The Cat:
  Am I better than you? You is a number. 
  You are 2.
  Be you nicer of 23? If so, let us proceed.

  Lady:
    Open your heart.

    You is the sum of me and a cat.
    Open your heart.
    You is the sum of me and 1.

    You is the difference between you and me.

    If not, you is a cat.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""101v         <
   @.20+\2-^""","""HAI 1.2
VISIBLE ""2""
VISIBLE ""3""
VISIBLE ""5""
VISIBLE ""7""
VISIBLE ""11""
VISIBLE ""13""
VISIBLE ""17""
VISIBLE ""19""
VISIBLE ""23""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(2) #2
DO READ OUT(3) #3
DO READ OUT(5) #5
DO READ OUT(7) #7
DO READ OUT(11) #11
DO READ OUT(13) #13
DO READ OUT(17) #17
DO READ OUT(19) #19
DO READ OUT(23) #23
PLEASE GIVE UP"""
"[10, 20, 30, 40, 50, 60]",1,"[FUck
FUckFUck]",[++++++++++[->++++++++++>]<.],"[print(*range(10, 61, 10), sep="", "")]","[Set n = 10
Repeat 6 times:
    Print n
    Increment n by 10]","(=<`#9]~6ZYXWVUTSRQPONMLKJIHGFEDCBA@?>=<;:9876543s+)(*&%$#""!","""The Cat:
  Am I better than you? You is a number. 
  You are 10.
  Be you nicer of 60? If so, let us proceed.

  Lady:
    Open your heart.

    You is the sum of me and a cat.
    Open your heart.
    You is the sum of me and 10.

    You is the difference between you and me.

    If not, you is a cat.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""1>      v
 @.10*1+<""","""HAI 1.2
VISIBLE ""10""
VISIBLE ""20""
VISIBLE ""30""
VISIBLE ""40""
VISIBLE ""50""
VISIBLE ""60""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(10) #10
DO READ OUT(20) #20
DO READ OUT(30) #30
DO READ OUT(40) #40
DO READ OUT(50) #50
DO READ OUT(60) #60
PLEASE GIVE UP"""
"[4, 8, 12, 16, 20, 24, 28, 32]",1,"[FUCK
FUCKFUCK]",[>+>+++++++[<-------->-]<.],"[print(*range(4, 33, 4), sep="", "")]","[Set n = 4
Repeat 8 times:
    Print n
    Increment n by 4]","(=BA#)9]~6ZYXWVUTSRQPONMLKJIHGFEDCBA@?>=<;:9876543s+)(*&%$#""!","""The Cat:
  Am I better than you? You is a number. 
  You are 4.
  Be you nicer of 32? If so, let us proceed.

  Lady:
    Open your heart.

    You is the sum of me and a cat.
    Open your heart.
    You is the sum of me and 4.

    You is the difference between you and me.

    If not, you is a cat.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""4v          <
 @.20*1+4-^""","""HAI 1.2
VISIBLE ""4""
VISIBLE ""8""
VISIBLE ""12""
VISIBLE ""16""
VISIBLE ""20""
VISIBLE ""24""
VISIBLE ""28""
VISIBLE ""32""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(4) #4
DO READ OUT(8) #8
DO READ OUT(12) #12
DO READ OUT(16) #16
DO READ OUT(20) #20
DO READ OUT(24) #24
DO READ OUT(28) #28
DO READ OUT(32) #32
PLEASE GIVE UP"""
"[3, 6, 9, 12, 15, 18, 21]",1,"[FUCk
FUCK]",[>+>++[<+>-]<.],"[print(*range(3, 22, 3), sep="", "")]","[Set n = 3
Repeat 7 times:
    Print n
    Increment n by 3]","(=<`!)+&%$#`""!zyxwv","""The Cat:
  Am I better than you? You is a number. 
  You are 3.
  Be you nicer of 21? If so, let us proceed.

  Lady:
    Open your heart.

    You is the sum of me and a cat.
    Open your heart.
    You is the sum of me and 3.

    You is the difference between you and me.

    If not, you is a cat.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""3>         v
 @.10*1+3- <""","""HAI 1.2
VISIBLE ""3""
VISIBLE ""6""
VISIBLE ""9""
VISIBLE ""12""
VISIBLE ""15""
VISIBLE ""18""
VISIBLE ""21""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(3) #3
DO READ OUT(6) #6
DO READ OUT(9) #9
DO READ OUT(12) #12
DO READ OUT(15) #15
DO READ OUT(18) #18
DO READ OUT(21) #21
PLEASE GIVE UP"""
"[1, 2, 3]",1,"[FUck
FUCK]",[>+++[-<+++>]<.],"[print(*range(1, 4), sep="", "")]","[Set n = 1
Repeat 3 times:
    Print n
    Increment n by 1]","(=BA#)9]~6ZYXWVUTSRQPONMLKJIHGFEDCBA@?>=<;:9876543s+)(*&%$#""!","""The Cat:
  Am I better than you? You is a number. 
  You are 1.
  Be you nicer of 5? If so, let us proceed.

  Lady:
    Open your heart.

    You is the sum of me and a cat.
    Open your heart.
    You is the sum of me and 1.

    You is the difference between you and me.

    If not, you is a cat.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""1>         v
 @.10+\1- <""","""HAI 1.2
VISIBLE ""1""
VISIBLE ""2""
VISIBLE ""3""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(1) #1
DO READ OUT(2) #2
DO READ OUT(3) #3
PLEASE GIVE UP"""
"[1, 2, 3, 4, 5]",1,"[FUck
FUCK]",[>+++++[<+>-]<.],"[print(*range(1, 6), sep="", "")]","[Set n = 1
Repeat 5 times:
    Print n
    Increment n by 1]","(*0""!zyxwvutsrqpon","""The Cat:
  Am I better than you? You is a number. 
  You are 1.
  Be you nicer of 5? If so, let us proceed.

  Lady:
    Open your heart.

    You is the sum of me and a cat.
    Open your heart.
    You is the sum of me and 1.

    You is the difference between you and me.

    If not, you is a cat.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""1>          v
 @.10+\1-  <""","""HAI 1.2
VISIBLE ""1""
VISIBLE ""2""
VISIBLE ""3""
VISIBLE ""4""
VISIBLE ""5""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(1) #1
DO READ OUT(2) #2
DO READ OUT(3) #3
DO READ OUT(4) #4
DO READ OUT(5) #5
PLEASE GIVE UP"""
