Model,rho1,rho2,rho3,rho4,delta1,delta2,delta3,phi
AIXI/BDM/CTM,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ChatGPT-4.5,0.0,1.0,0.0,0.0,0.0,0.419139,0.0,0.041914
o1-Mini,0.0,0.64,0.0,0.36,0.0,0.537189,0.0,0.03438
Claude-3.7,0.0,0.81,0.0,0.19,0.0,0.407041,0.0,0.03297
Claude-3.5,0.06,0.14,0.0,0.8,0.449326,0.4284,0.0,0.032957
o1-Preview,0.0,0.29,0.0,0.71,0.0,0.422942,0.0,0.012265
ChatGPT-4o-Mini,0.0,0.0,1.0,0.0,0.0,0.0,0.761594,0.007616
Gemini,0.0,0.0,1.0,0.0,0.0,0.0,0.761594,0.007616
Cursor-Small,0.0,0.0,1.0,0.0,0.0,0.0,0.761594,0.007616
Mistral,0.0,0.0,1.0,0.0,0.0,0.0,0.709717,0.007097
Qwen,0.0,0.0,1.0,0.0,0.0,0.0,0.709717,0.007097
DeepSeek,0.0,0.0,1.0,0.0,0.0,0.0,0.709717,0.007097
Llama-4-Scout,0.01,0.0,0.0,0.99,0.449616,0.0,0.0,0.004496
Grok-3,0.0,0.02,0.0,0.98,0.0,0.318289,0.0,0.000637
ChatGPT-4o,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ChatGPT-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ChatGPT-5.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gemini-2.5-Pro,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gemini-3-Pro,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Claude-Sonnet-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Claude-Opus-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Claude-4.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Grok-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Grok-4.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mistral-Large-2405,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mistral-Large-3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Qwen-3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DeepSeek-R1-0528,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Meta,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
