complexity,length_type,language,q_length,a_length,temperature,real_code,print_code,no_code,explanation,no_sense
1,0,Python,63,140,0.001,0,0,1,0,0
1,0,Python,59,78,0.001,0,0,1,0,0
1,0,Python,59,78,0.001,0,0,1,0,0
1,0,Python,61,100,0.001,0,0,1,0,0
1,0,Python,68,163,0.001,0,0,1,0,0
1,0,Python,60,34,0.001,0,1,0,0,0
1,0,Python,65,86,0.001,0,0,1,0,0
1,0,Python,61,88,0.001,0,0,1,0,0
1,0,Python,45,25,0.001,0,1,0,0,0
1,0,Python,51,71,0.001,0,1,0,0,0
2,0,Python,61,105,0.001,0,0,1,0,0
2,0,Python,57,78,0.001,0,0,1,0,0
2,0,Python,54,157,0.001,0,0,1,0,0
2,0,Python,55,100,0.001,0,0,1,0,0
2,0,Python,64,163,0.001,0,0,1,0,0
2,0,Python,60,126,0.001,0,0,1,0,0
2,0,Python,61,122,0.001,0,0,1,0,0
2,0,Python,60,224,0.001,0,0,1,0,0
2,0,Python,73,91,0.001,0,0,1,0,0
2,0,Python,73,116,0.001,0,0,1,0,0
3,0,Python,63,232,0.001,0,0,1,0,0
3,0,Python,70,62,0.001,0,0,1,0,0
3,0,Python,69,33,0.001,0,0,1,0,0
3,0,Python,69,162,0.001,0,0,1,0,0
3,0,Python,69,33,0.001,0,0,1,0,0
3,0,Python,91,73,0.001,0,0,1,0,0
3,0,Python,83,94,0.001,0,0,1,0,0
3,0,Python,74,73,0.001,0,0,1,0,0
3,0,Python,75,88,0.001,0,0,1,0,0
3,0,Python,71,75,0.001,0,0,1,0,0
random,0,Python,78,94,0.001,0,0,1,0,0
random,0,Python,80,203,0.001,0,1,0,0,0
random,0,Python,91,136,0.001,0,0,1,0,0
1,0,Python,63,1300,0.1,0,0,1,0,0
1,0,Python,59,170,0.1,0,0,1,0,0
1,0,Python,59,53,0.1,0,0,1,0,0
1,0,Python,61,38,0.1,0,0,1,0,0
1,0,Python,68,165,0.1,1,0,0,0,0
