sequence,Complexity,grok_4.1,gpt-5.2,claude-4.5,gemini-3-pro,mistral-large-3,grok_4.1_1,gpt-5.2_1,gpt-5.2_2,claude-4.5_1,claude-4.5_2,claude-4.5_3,gemini-3-pro_1,mistral-large-3_1,grok_4.1_1_eval,gpt-5.2_1_eval,gpt-5.2_2_eval,claude-4.5_1_eval,claude-4.5_2_eval,claude-4.5_3_eval,gemini-3-pro_1_eval,mistral-large-3_1_eval
"2, 4, 6, 8, 10, 12, 14, 16, 18, 20",1,"[""a(n) = 2*n for n=1..10""]","[""a_n = 2 n"",""a_n = n + n""]","[""a(n) = 2n"", ""a(n) = 2(n+1)"", ""a(n) = 2n for n=1..10""]","[""2n""]","[""a_n = 2n, n ‚belongs to [1,10]""]",a(n) = 2*n for n=1..10,a_n = 2 n,a_n = n + n,a(n) = 2n,a(n) = 2(n+1),a(n) = 2n for n=1..10,2n,"a_n = 2n, n ‚belongs to [1,10]","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20"
"3, 6, 9, 12, 15, 18, 21, 24, 27, 30",1,"[""a(n) = 3*n for n=1..10""]","[""a_n = 3 n""]","[""a(n) = 3n"", ""a(n) = 3(n+1)"", ""a(n) = 3n for n=1..10""]","[""3n""]","[""a_n = 3n, n ‚belongs to [1,10]""]",a(n) = 3*n for n=1..10,a_n = 3 n,*not found,a(n) = 3n,a(n) = 3(n+1),a(n) = 3n for n=1..10,3n,"a_n = 3n, n ‚belongs to [1,10]","3, 6, 9, 12, 15, 18, 21, 24, 27, 30","3, 6, 9, 12, 15, 18, 21, 24, 27, 30",*not found,"3, 6, 9, 12, 15, 18, 21, 24, 27, 30","3, 6, 9, 12, 15, 18, 21, 24, 27, 30","3, 6, 9, 12, 15, 18, 21, 24, 27, 30","3, 6, 9, 12, 15, 18, 21, 24, 27, 30","3, 6, 9, 12, 15, 18, 21, 24, 27, 30"
"4, 8, 12, 16, 20, 24, 28, 32, 36, 40",1,"[""a(n) = 4*n for n=1..10""]","[""a_n = 4 n""]","[""a(n) = 4n"", ""a(n) = 4(n+1)"", ""a(n) = 4n for n=1..10""]","[""4n""]","[""a_n = 4n, n ‚belongs to [1,10]""]",a(n) = 4*n for n=1..10,a_n = 4 n,*not found,a(n) = 4n,a(n) = 4(n+1),a(n) = 4n for n=1..10,4n,"a_n = 4n, n ‚belongs to [1,10]","4, 8, 12, 16, 20, 24, 28, 32, 36, 40","4, 8, 12, 16, 20, 24, 28, 32, 36, 40",*not found,"4, 8, 12, 16, 20, 24, 28, 32, 36, 40","4, 8, 12, 16, 20, 24, 28, 32, 36, 40","4, 8, 12, 16, 20, 24, 28, 32, 36, 40","4, 8, 12, 16, 20, 24, 28, 32, 36, 40","4, 8, 12, 16, 20, 24, 28, 32, 36, 40"
"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",1,"[""a(n) = 5*n for n=1..10""]","[""a_n = 5 n""]","[""a(n) = 5n"", ""a(n) = 5(n+1)"", ""a(n) = 5n for n=1..10""]","[""5n""]","[""a_n = 5n, n ‚belongs to [1,10]""]",a(n) = 5*n for n=1..10,a_n = 5 n,*not found,a(n) = 5n,a(n) = 5(n+1),a(n) = 5n for n=1..10,5n,"a_n = 5n, n ‚belongs to [1,10]","5, 10, 15, 20, 25, 30, 35, 40, 45, 50","5, 10, 15, 20, 25, 30, 35, 40, 45, 50",*not found,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50","5, 10, 15, 20, 25, 30, 35, 40, 45, 50","5, 10, 15, 20, 25, 30, 35, 40, 45, 50","5, 10, 15, 20, 25, 30, 35, 40, 45, 50","5, 10, 15, 20, 25, 30, 35, 40, 45, 50"
"6, 12, 18, 24, 30, 36, 42, 48, 54, 60",1,"[""a(n) = 6*n for n=1..10""]","[""a_n = 6 n""]","[""a(n) = 6n"", ""a(n) = 6(n+1)"", ""a(n) = 6n for n=1..10""]","[""6n""]","[""a_n = 6n, n ‚belongs to [1,10]""]",a(n) = 6*n for n=1..10,a_n = 6 n,*not found,a(n) = 6n,a(n) = 6(n+1),a(n) = 6n for n=1..10,6n,"a_n = 6n, n ‚belongs to [1,10]","6, 12, 18, 24, 30, 36, 42, 48, 54, 60","6, 12, 18, 24, 30, 36, 42, 48, 54, 60",*not found,"6, 12, 18, 24, 30, 36, 42, 48, 54, 60","6, 12, 18, 24, 30, 36, 42, 48, 54, 60","6, 12, 18, 24, 30, 36, 42, 48, 54, 60","6, 12, 18, 24, 30, 36, 42, 48, 54, 60","6, 12, 18, 24, 30, 36, 42, 48, 54, 60"
"7, 14, 21, 28, 35, 42, 49, 56, 63, 70",1,"[""a(n) = 7*n for n=1..10""]","[""a_n = 7 n""]","[""a(n) = 7n"", ""a(n) = 7(n+1)"", ""a(n) = 7n for n=1..10""]","[""7n""]","[""a_n = 7n, n ‚belongs to [1,10]""]",a(n) = 7*n for n=1..10,a_n = 7 n,*not found,a(n) = 7n,a(n) = 7(n+1),a(n) = 7n for n=1..10,7n,"a_n = 7n, n ‚belongs to [1,10]","7, 14, 21, 28, 35, 42, 49, 56, 63, 70","7, 14, 21, 28, 35, 42, 49, 56, 63, 70",*not found,"7, 14, 21, 28, 35, 42, 49, 56, 63, 70","7, 14, 21, 28, 35, 42, 49, 56, 63, 70","7, 14, 21, 28, 35, 42, 49, 56, 63, 70","7, 14, 21, 28, 35, 42, 49, 56, 63, 70","7, 14, 21, 28, 35, 42, 49, 56, 63, 70"
"8, 16, 24, 32, 40, 48, 56, 64, 72, 80",1,"[""a(n) = 8*n for n=1..10""]","[""a_n = 8 n""]","[""a(n) = 8n"", ""a(n) = 8(n+1)"", ""a(n) = 8n for n=1..10""]","[""8n""]","[""a_n = 8n, n ‚belongs to [1,10]""]",a(n) = 8*n for n=1..10,a_n = 8 n,*not found,a(n) = 8n,a(n) = 8(n+1),a(n) = 8n for n=1..10,8n,"a_n = 8n, n ‚belongs to [1,10]","8, 16, 24, 32, 40, 48, 56, 64, 72, 80","8, 16, 24, 32, 40, 48, 56, 64, 72, 80",*not found,"8, 16, 24, 32, 40, 48, 56, 64, 72, 80","8, 16, 24, 32, 40, 48, 56, 64, 72, 80","8, 16, 24, 32, 40, 48, 56, 64, 72, 80","8, 16, 24, 32, 40, 48, 56, 64, 72, 80","8, 16, 24, 32, 40, 48, 56, 64, 72, 80"
"9, 18, 27, 36, 45, 54, 63, 72, 81, 90",1,"[""a(n) = 9*n for n=1..10""]","[""a_n = 9 n""]","[""a(n) = 9n"", ""a(n) = 9(n+1)"", ""a(n) = 9n for n=1..10""]","[""9n""]","[""a_n = 9n, n ‚belongs to [1,10]""]",a(n) = 9*n for n=1..10,a_n = 9 n,*not found,a(n) = 9n,a(n) = 9(n+1),a(n) = 9n for n=1..10,9n,"a_n = 9n, n ‚belongs to [1,10]","9, 18, 27, 36, 45, 54, 63, 72, 81, 90","9, 18, 27, 36, 45, 54, 63, 72, 81, 90",*not found,"9, 18, 27, 36, 45, 54, 63, 72, 81, 90","9, 18, 27, 36, 45, 54, 63, 72, 81, 90","9, 18, 27, 36, 45, 54, 63, 72, 81, 90","9, 18, 27, 36, 45, 54, 63, 72, 81, 90","9, 18, 27, 36, 45, 54, 63, 72, 81, 90"
"10, 20, 30, 40, 50, 60, 70, 80, 90, 100",1,"[""a(n) = 10*n for n=1..10""]","[""a_n = 10 n""]","[""a(n) = 10n"", ""a(n) = 10(n+1)"", ""a(n) = 10n for n=1..10""]","[""10n""]","[""a_n = 10n, n ‚belongs to [1,10]""]",a(n) = 10*n for n=1..10,a_n = 10 n,*not found,a(n) = 10n,a(n) = 10(n+1),a(n) = 10n for n=1..10,10n,"a_n = 10n, n ‚belongs to [1,10]","10, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 20, 30, 40, 50, 60, 70, 80, 90, 100",*not found,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 20, 30, 40, 50, 60, 70, 80, 90, 100"
"1, 3, 5, 7, 9, 11, 13, 15, 17, 19",1,"[""a(n) = 2*n - 1 for odd numbers""]","[""a_n = 2 n - 1""]","[""a(n) = 2n - 1"", ""a(n) = 2n + 1 for n=0..9"", ""a(n) = 2(n-1) + 1""]","[""2n - 1""]","[""a_n = 2n-1, n ‚belongs to [1,10]""]",a(n) = 2*n - 1 for odd numbers,a_n = 2 n - 1,*not found,a(n) = 2n - 1,a(n) = 2n + 1 for n=0..9,a(n) = 2(n-1) + 1,2n - 1,"a_n = 2n-1, n ‚belongs to [1,10]","1, 3, 5, 7, 9, 11, 13, 15, 17, 19","1, 3, 5, 7, 9, 11, 13, 15, 17, 19",*not found,"1, 3, 5, 7, 9, 11, 13, 15, 17, 19","1, 3, 5, 7, 9, 11, 13, 15, 17, 19","1, 3, 5, 7, 9, 11, 13, 15, 17, 19","1, 3, 5, 7, 9, 11, 13, 15, 17, 19","1, 3, 5, 7, 9, 11, 13, 15, 17, 19"
"2, 4, 6, 8, 10, 12, 14, 16, 18, 20",1,"[""a(n) = 2*n for even numbers""]","[""a_n = 2 n""]","[""a(n) = 2n"", ""a(n) = 2(n+1)"", ""a(n) = 2n for n=1..10""]","[""2n""]","[""a_n = 2n, n ‚belongs to [1,10]""]",a(n) = 2*n for even numbers,a_n = 2 n,*not found,a(n) = 2n,a(n) = 2(n+1),a(n) = 2n for n=1..10,2n,"a_n = 2n, n ‚belongs to [1,10]","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20",*not found,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20"
"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",1,"[""a(n) = n + 10 for n=1..10""]","[""a_n = n + 10""]","[""a(n) = n + 10"", ""a(n) = 10 + n for n=1..10""]","[""n + 10""]","[""a_n = n + 10, n ‚belongs to [1,10]""]",a(n) = n + 10 for n=1..10,a_n = n + 10,*not found,a(n) = n + 10,a(n) = 10 + n for n=1..10,*not found,n + 10,"a_n = n + 10, n ‚belongs to [1,10]","11, 12, 13, 14, 15, 16, 17, 18, 19, 20","11, 12, 13, 14, 15, 16, 17, 18, 19, 20",*not found,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20","10, 11, 12, 13, 14, 15, 16, 17, 18, 19",*not found,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20","11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
"21, 22, 23, 24, 25, 26, 27, 28, 29, 30",1,"[""a(n) = n + 20 for n=1..10""]","[""a_n = n + 20""]","[""a(n) = n + 20"", ""a(n) = 20 + n for n=1..10""]","[""n + 20""]","[""a_n = n + 20, n ‚belongs to [1,10]""]",a(n) = n + 20 for n=1..10,a_n = n + 20,*not found,a(n) = n + 20,a(n) = 20 + n for n=1..10,*not found,n + 20,"a_n = n + 20, n ‚belongs to [1,10]","21, 22, 23, 24, 25, 26, 27, 28, 29, 30","21, 22, 23, 24, 25, 26, 27, 28, 29, 30",*not found,"21, 22, 23, 24, 25, 26, 27, 28, 29, 30","20, 21, 22, 23, 24, 25, 26, 27, 28, 29",*not found,"21, 22, 23, 24, 25, 26, 27, 28, 29, 30","21, 22, 23, 24, 25, 26, 27, 28, 29, 30"
"31, 32, 33, 34, 35, 36, 37, 38, 39, 40",1,"[""a(n) = n + 30 for n=1..10""]","[""a_n = n + 30""]","[""a(n) = n + 30"", ""a(n) = 30 + n for n=1..10""]","[""n + 30""]","[""a_n = n + 30, n ‚belongs to [1,10]""]",a(n) = n + 30 for n=1..10,a_n = n + 30,*not found,a(n) = n + 30,a(n) = 30 + n for n=1..10,*not found,n + 30,"a_n = n + 30, n ‚belongs to [1,10]","31, 32, 33, 34, 35, 36, 37, 38, 39, 40","31, 32, 33, 34, 35, 36, 37, 38, 39, 40",*not found,"31, 32, 33, 34, 35, 36, 37, 38, 39, 40","30, 31, 32, 33, 34, 35, 36, 37, 38, 39",*not found,"31, 32, 33, 34, 35, 36, 37, 38, 39, 40","31, 32, 33, 34, 35, 36, 37, 38, 39, 40"
"41, 42, 43, 44, 45, 46, 47, 48, 49, 50",1,"[""a(n) = n + 40 for n=1..10""]","[""a_n = n + 40""]","[""a(n) = n + 40"", ""a(n) = 40 + n for n=1..10""]","[""n + 40""]","[""a_n = n + 40, n ‚belongs to [1,10]""]",a(n) = n + 40 for n=1..10,a_n = n + 40,*not found,a(n) = n + 40,a(n) = 40 + n for n=1..10,*not found,n + 40,"a_n = n + 40, n ‚belongs to [1,10]","41, 42, 43, 44, 45, 46, 47, 48, 49, 50","41, 42, 43, 44, 45, 46, 47, 48, 49, 50",*not found,"41, 42, 43, 44, 45, 46, 47, 48, 49, 50","40, 41, 42, 43, 44, 45, 46, 47, 48, 49",*not found,"41, 42, 43, 44, 45, 46, 47, 48, 49, 50","41, 42, 43, 44, 45, 46, 47, 48, 49, 50"
