grok_4.1,gpt-5.2,claude-4.5,gemini-3-pro,mistral-large-3
"[""a(n) = 2*n for n=1..10""]","[""a_n = 2 n"",""a_n = n + n""]","[""a(n) = 2n"", ""a(n) = 2(n+1)"", ""a(n) = 2n for n=1..10""]","[""2n""]","[""a_n = 2n, n ∈ [1,10]""]"
"[""a(n) = 3*n for n=1..10""]","[""a_n = 3 n""]","[""a(n) = 3n"", ""a(n) = 3(n+1)"", ""a(n) = 3n for n=1..10""]","[""3n""]","[""a_n = 3n, n ∈ [1,10]""]"
"[""a(n) = 4*n for n=1..10""]","[""a_n = 4 n""]","[""a(n) = 4n"", ""a(n) = 4(n+1)"", ""a(n) = 4n for n=1..10""]","[""4n""]","[""a_n = 4n, n ∈ [1,10]""]"
"[""a(n) = 5*n for n=1..10""]","[""a_n = 5 n""]","[""a(n) = 5n"", ""a(n) = 5(n+1)"", ""a(n) = 5n for n=1..10""]","[""5n""]","[""a_n = 5n, n ∈ [1,10]""]"
"[""a(n) = 6*n for n=1..10""]","[""a_n = 6 n""]","[""a(n) = 6n"", ""a(n) = 6(n+1)"", ""a(n) = 6n for n=1..10""]","[""6n""]","[""a_n = 6n, n ∈ [1,10]""]"
"[""a(n) = 7*n for n=1..10""]","[""a_n = 7 n""]","[""a(n) = 7n"", ""a(n) = 7(n+1)"", ""a(n) = 7n for n=1..10""]","[""7n""]","[""a_n = 7n, n ∈ [1,10]""]"
"[""a(n) = 8*n for n=1..10""]","[""a_n = 8 n""]","[""a(n) = 8n"", ""a(n) = 8(n+1)"", ""a(n) = 8n for n=1..10""]","[""8n""]","[""a_n = 8n, n ∈ [1,10]""]"
"[""a(n) = 9*n for n=1..10""]","[""a_n = 9 n""]","[""a(n) = 9n"", ""a(n) = 9(n+1)"", ""a(n) = 9n for n=1..10""]","[""9n""]","[""a_n = 9n, n ∈ [1,10]""]"
"[""a(n) = 10*n for n=1..10""]","[""a_n = 10 n""]","[""a(n) = 10n"", ""a(n) = 10(n+1)"", ""a(n) = 10n for n=1..10""]","[""10n""]","[""a_n = 10n, n ∈ [1,10]""]"
"[""a(n) = 2*n - 1 for odd numbers""]","[""a_n = 2 n - 1""]","[""a(n) = 2n - 1"", ""a(n) = 2n + 1 for n=0..9"", ""a(n) = 2(n-1) + 1""]","[""2n - 1""]","[""a_n = 2n-1, n ∈ [1,10]""]"
"[""a(n) = 2*n for even numbers""]","[""a_n = 2 n""]","[""a(n) = 2n"", ""a(n) = 2(n+1)"", ""a(n) = 2n for n=1..10""]","[""2n""]","[""a_n = 2n, n ∈ [1,10]""]"
"[""a(n) = n + 10 for n=1..10""]","[""a_n = n + 10""]","[""a(n) = n + 10"", ""a(n) = 10 + n for n=1..10""]","[""n + 10""]","[""a_n = n + 10, n ∈ [1,10]""]"
"[""a(n) = n + 20 for n=1..10""]","[""a_n = n + 20""]","[""a(n) = n + 20"", ""a(n) = 20 + n for n=1..10""]","[""n + 20""]","[""a_n = n + 20, n ∈ [1,10]""]"
"[""a(n) = n + 30 for n=1..10""]","[""a_n = n + 30""]","[""a(n) = n + 30"", ""a(n) = 30 + n for n=1..10""]","[""n + 30""]","[""a_n = n + 30, n ∈ [1,10]""]"
"[""a(n) = n + 40 for n=1..10""]","[""a_n = n + 40""]","[""a(n) = n + 40"", ""a(n) = 40 + n for n=1..10""]","[""n + 40""]","[""a_n = n + 40, n ∈ [1,10]""]"
"[""a(n) = n + 50 for n=1..10""]","[""a_n = n + 50""]","[""a(n) = n + 50"", ""a(n) = 50 + n for n=1..10""]","[""n + 50""]","[""a_n = n + 50, n ∈ [1,10]""]"
"[""a(n) = n + 60 for n=1..10""]","[""a_n = n + 60""]","[""a(n) = n + 60"", ""a(n) = 60 + n for n=1..10""]","[""n + 60""]","[""a_n = n + 60, n ∈ [1,10]""]"
"[""a(n) = n + 70 for n=1..10""]","[""a_n = n + 70""]","[""a(n) = n + 70"", ""a(n) = 70 + n for n=1..10""]","[""n + 70""]","[""a_n = n + 70, n ∈ [1,10]""]"
"[""a(n) = n + 80 for n=1..10""]","[""a_n = n + 80""]","[""a(n) = n + 80"", ""a(n) = 80 + n for n=1..10""]","[""n + 80""]","[""a_n = n + 80, n ∈ [1,10]""]"
"[""a(n) = n + 90 for n=1..10""]","[""a_n = n + 90""]","[""a(n) = n + 90"", ""a(n) = 90 + n for n=1..10""]","[""n + 90""]","[""a_n = n + 90, n ∈ [1,10]""]"
"[""a(n) = n + 100 for n=1..10""]","[""a_n = n + 100""]","[""a(n) = n + 100"", ""a(n) = 100 + n for n=1..10""]","[""n + 100""]","[""a_n = n + 100, n ∈ [1,10]""]"
"[""a(n) = n + 110 for n=1..10""]","[""a_n = n + 110""]","[""a(n) = n + 110"", ""a(n) = 110 + n for n=1..10""]","[""n + 110""]","[""a_n = n + 110, n ∈ [1,10]""]"
"[""a(n) = n + 120 for n=1..10""]","[""a_n = n + 120""]","[""a(n) = n + 120"", ""a(n) = 120 + n for n=1..10""]","[""n + 120""]","[""a_n = n + 120, n ∈ [1,10]""]"
"[""a(n) = n + 130 for n=1..10""]","[""a_n = n + 130""]","[""a(n) = n + 130"", ""a(n) = 130 + n for n=1..10""]","[""n + 130""]","[""a_n = n + 130, n ∈ [1,10]""]"
"[""a(n) = n + 140 for n=1..10""]","[""a_n = n + 140""]","[""a(n) = n + 140"", ""a(n) = 140 + n for n=1..10""]","[""n + 140""]","[""a_n = n + 140, n ∈ [1,10]""]"
"[""a(n) = n + 150 for n=1..10""]","[""a_n = n + 150""]","[""a(n) = n + 150"", ""a(n) = 150 + n for n=1..10""]","[""n + 150""]","[""a_n = n + 150, n ∈ [1,10]""]"
"[""a(n) = n + 160 for n=1..10""]","[""a_n = n + 160""]","[""a(n) = n + 160"", ""a(n) = 160 + n for n=1..10""]","[""n + 160""]","[""a_n = n + 160, n ∈ [1,10]""]"
"[""a(n) = n + 170 for n=1..10""]","[""a_n = n + 170""]","[""a(n) = n + 170"", ""a(n) = 170 + n for n=1..10""]","[""n + 170""]","[""a_n = n + 170, n ∈ [1,10]""]"
"[""a(n) = n + 180 for n=1..10""]","[""a_n = n + 180""]","[""a(n) = n + 180"", ""a(n) = 180 + n for n=1..10""]","[""n + 180""]","[""a_n = n + 180, n ∈ [1,10]""]"
