sequence,Complexity,mistral_large2405,claude_sonnet_4,mistral_large2405_1,mistral_large2405_2,mistral_large2405_3,claude_sonnet_4_1,claude_sonnet_4_2,claude_sonnet_4_3,claude_sonnet_4_4,claude_sonnet_4_5,claude_sonnet_4_6,claude_sonnet_4_7,claude_sonnet_4_8,claude_sonnet_4_9,mistral_large2405_1_eval
"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000",2,"['n^5', '5^n', 'factorial(n+4)']","['a_n = n^k', 'a_n = (n)^(k)', 'a_n = (n)^k', 'a_n = n^5', 'a_n = (n)^5', 'a_n = n^5', 'a_n = 1, 4, 27, 256, 3125, ...', 'a_n = n^5', 'a_n = (n)^5']","""n^5""","""5^n""","""factorial(n+4)""","""a_n = n^k""","""a_n = (n)^(k)""","""a_n = (n)^k""","""a_n = n^5""","""a_n = (n)^5""","""a_n = n^5""","""a_n = 1, 4, 27, 256, 3125, ...""","""a_n = n^5""","""a_n = (n)^5""","1, 32, 243, 1024, 3125, 7776, 19683, 46656, 117649, 262144"
"121, 122, 123, 124, 125, 126, 127, 128, 129, 130",1,"['n^2 + n - 1', '2*n - 1', 'n*(n+1) - 1']","['a_n = 120 + n', 'a_n = a_(n-1) + 1', 'a_n = 121 + (n-1)*1']","""n^2 + n - 1""","""2*n - 1""","""n*(n+1) - 1""","""a_n = 120 + n""","""a_n = a_(n-1) + 1""","""a_n = 121 + (n-1)*1""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""","0, -1, 0, 3, 9, 16, 28, 45, 68, 98"
"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",2,"['n^2 - 1', '2*n + 1', 'prime(n)']","['a_n = n + 1', 'a_n = prime(n)', 'a_n = n + 1', 'a_n = n + 1', 'a_n = n + 1']","""n^2 - 1""","""2*n + 1""","""prime(n)""","""a_n = n + 1""","""a_n = prime(n)""","""a_n = n + 1""","""a_n = n + 1""","""a_n = n + 1""","""*not found""","""*not found""","""*not found""","""*not found""","0, 3, 8, 15, 24, 35, 48, 63, 80, 99"
"15, 95, 115, 195, 240, 318, 326, 350, 432, 450",3,"['15 + 80*n', '20*(n-1)^2 - n^2 + 100', '40*n + 5']","['a_n = 100 + 45*n', 'a_n = 95 + 40*(n-1)', 'a_n = 15 + 40*(n-1)']","""15 + 80*n""","""20*(n-1)^2 - n^2 + 100""","""40*n + 5""","""a_n = 100 + 45*n""","""a_n = 95 + 40*(n-1)""","""a_n = 15 + 40*(n-1)""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""",*not found
"2, 4, 6, 8, 10, 12, 14, 16, 18, 20",1,"['n^2 + 0.5', '2*n', 'a_n = n * (n-1) + 2']","['a_n = 2*n', 'a_n = 2 * (n+1)', 'a_n = 2 * n']","""n^2 + 0.5""","""2*n""","""a_n = n * (n-1) + 2""","""a_n = 2*n""","""a_n = 2 * (n+1)""","""a_n = 2 * n""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""",*not found
"161, 162, 163, 164, 165, 166, 167, 168, 169, 170",1,"['n^2 + n - 1', 'n^2 - 1', 'not found']","['a_n = 160 + n', 'a_n = a_(n-1) + 1', 'a_n = 161 + (n-1)*1']","""n^2 + n - 1""","""n^2 - 1""","""not found""","""a_n = 160 + n""","""a_n = a_(n-1) + 1""","""a_n = 161 + (n-1)*1""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""",
"0, 1, 2, 5, 12, 29, 70, 169, 408, 985",2,"['n^4 + 6*n^2 - n - 8', 'a_n = (2*a_(n-1) + 3*(n-1)) - a_(n-2)', '((n*sqrt(5) + 1)^2)/4']","['a_n = a_(n-1) + a_(n-2) + a_(n-3)', 'a_n = 2*a_(n-1) - a_(n-2)', 'a_n = 2*a_(n-1) - 1']","""n^4 + 6*n^2 - n - 8""","""a_n = (2*a_(n-1) + 3*(n-1)) - a_(n-2)""","""((n*sqrt(5) + 1)^2)/4""","""a_n = a_(n-1) + a_(n-2) + a_(n-3)""","""a_n = 2*a_(n-1) - a_(n-2)""","""a_n = 2*a_(n-1) - 1""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""",
"2, 42, 66, 102, 153, 195, 201, 252, 306, 396",3,"['n^2 + n + 6', '4*n - 14 + (13/(n-1))', 'not found']","['a_n = 2*n^2 - 2*n', 'a_n = 2*n*(n+1)', 'a_n = 2 * (3*n^2 - 2*n + 1)']","""n^2 + n + 6""","""4*n - 14 + (13/(n-1))""","""not found""","""a_n = 2*n^2 - 2*n""","""a_n = 2*n*(n+1)""","""a_n = 2 * (3*n^2 - 2*n + 1)""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""",
"2, 4, 6, 8, 10, 12, 14, 16, 18, 20",1,"['n^2 + n - n - 1', '2 * (n + (-1)^n)', '2 * n']","['a_n = 2*n', 'a_n = 2 * (n+1)', 'a_n = 2 * n']","""n^2 + n - n - 1""","""2 * (n + (-1)^n)""","""2 * n""","""a_n = 2*n""","""a_n = 2 * (n+1)""","""a_n = 2 * n""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""",
"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010",2,"['10*n + (10 - n)', 'n^2 * 10 + n', 'int(10^n) + int(10^(n+1))']","['a_n = (n%3 == 1) * 10 + (n%3 == 2) * 11 + (n%3 == 0) * 100', 'a_n = 10 * ((n-1) mod 3) + 11 * ((n-1) mod 3 == 1) + 100 * ((n-1) mod 3 == 2)', 'a_n = 10 + 11 * ((n-1) mod 2) + 100 * ((n-1) mod 2 == 1)']","""10*n + (10 - n)""","""n^2 * 10 + n""","""int(10^n) + int(10^(n+1))""","""a_n = (n%3 == 1) * 10 + (n%3 == 2) * 11 + (n%3 == 0) * 100""","""a_n = 10 * ((n-1) mod 3) + 11 * ((n-1) mod 3 == 1) + 100 * ((n-1) mod 3 == 2)""","""a_n = 10 + 11 * ((n-1) mod 2) + 100 * ((n-1) mod 2 == 1)""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""","""*not found""",
