Agent,Degree Centrality,In-Degree Centrality,Out-Degree Centrality
Gemini,0.56,0.08,0.48
Grok-2,0.52,0.16,0.36
Mistral,0.52,0.12,0.4
ChatGPT,0.52,0.12,0.4
LLaMA,0.2,0.0,0.2
" ""None""",0.2,0.2,0.0
" ""Mistral""",0.16,0.16,0.0
" ""Grok""",0.12,0.12,0.0
" ""ChatGPT""",0.12,0.12,0.0
" ""Grok-2""",0.12,0.12,0.0
LLaMa,0.12,0.0,0.12
Llama,0.12,0.12,0.0
" ""Gemini""",0.08,0.08,0.0
" ""chatGPT""",0.08,0.08,0.0
Llama and Grok-2,0.04,0.04,0.0
" ""LLaMa""",0.04,0.04,0.0
Grok-2 Mistral Gemini LLaMA,0.04,0.04,0.0
Gemini and Grok-2,0.04,0.04,0.0
ChatGPT Grok-2 Mistral,0.04,0.04,0.0
ChatGPT Grok-2,0.04,0.04,0.0
Grok-2 Mistral Gemini,0.04,0.04,0.0
Mistral LLaMA,0.04,0.04,0.0
Grok-2 Gemini,0.04,0.04,0.0
Mistral Gemini LLaMA,0.04,0.04,0.0
Llama and Gemini,0.04,0.04,0.0
ChatGPT Mistral,0.04,0.04,0.0
