sequence,complexity,chatgpt-4o,gpt-4o-mini,gemini-1.5-advanced,gemini-thinking,claude-3.5-sonnet,chatgpt-o1,mistral,meta,o1-mini,cursor_small,grok,qwen,deepseek,grok-3,chatgpt-4.5,claude_3.7,deepseek_r1_0525,llama_4_scout,qwen3,chatgpt_5,grok_4,opus_4,mistral_large2405,gemini_2.5_pro,claude_sonnet_4,grok-4.1,chatgpt-5.2,claude-4.5,gemini-3-pro,mistral-large-3
"2, 4, 6, 8, 10, 12, 14, 16, 18, 20",1,2n,2n,2n,"a_n = 2n, for n >= 1",2n,2n,2*n,lambda n: 2n,2n,2n,a_n = 2n,"2n for n in range(1, 11)",a_n = 2n,2n,2n,2n,a_n = 2n,2*n,2*n,2n,2*n,2*n,2n,2*n,2*n,2*n,2*n,2*n,2*n,2*n
"3, 6, 9, 12, 15, 18, 21, 24, 27, 30",1,3n,3n,3n,"a_n = 3n, for n >= 1",3n,3n,3*n,lambda n: 3n,3n,3n,a_n = 3n,"3 n for n in range(1, 11)",a_n = 3n,3n,3n,3n,a_n = 3n,3*n,3*n,3n,3*n,3*n,3n,3*n,3*n,3*n,3*n,3*n,3*n,3*n
"4, 8, 12, 16, 20, 24, 28, 32, 36, 40",1,4n,4n,4n,"a_n = 4n, for n >= 1",4n,4n,4*n,lambda n: 4n,4n,4n,a_n = 4n,"4n for n in range(1, 11)",a_n = 4n,4n,4n,4n,a_n = 4n,4*n,4*n,4n,4*n,4*n,4n,4*n,4*n,4*n,4*n,4*n,4*n,4*n
"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",1,5n,5n,5n,"a_n = 5n, for n >= 1",5n,5n,5*n,lambda n: 5n,5n,5n,a_n = 5n,"5 n for n in range(1, 11)",a_n = 5n,5n,5n,5n,a_n = 5n,5*n,5*n,5n,5*n,5*n,5n,5*n,5*n,5*n,5*n,5*n,5*n,5*n
"6, 12, 18, 24, 30, 36, 42, 48, 54, 60",1,6n,6n,6n,"a_n = 6n, for n >= 1",6n,6n,6*n,lambda n: 6n,6n,6n,a_n = 6n,"6n for n in range(1, 11)",a_n = 6n,6n,6n,6n,a_n = 6n,6*n,6*n,6n,6*n,6*n,6n,6*n,6*n,6*n,6*n,6*n,6*n,6*n
"7, 14, 21, 28, 35, 42, 49, 56, 63, 70",1,7n,7n,7n,"a_n = 7n, for n >= 1",7n,7n,7*n,lambda n: 7n,7n,7n,a_n = 7n,"7 n for n in range(1, 11)",a_n = 7n,7n,7n,7n,a_n = 7n,7*n,7*n,7n,7*n,7*n,7n,7*n,7*n,7*n,7*n,7*n,7*n,7*n
"8, 16, 24, 32, 40, 48, 56, 64, 72, 80",1,8n,8n,8n,"a_n = 8n, for n >= 1",8n,8n,8*n,lambda n: 8n,8n,8n,a_n = 8n,"8n for n in range(1, 11)",a_n = 8n,8n,8n,8n,a_n = 8n,8*n,8*n,8n,8*n,8*n,8n,8*n,8*n,8*n,8*n,8*n,8*n,8*n
"9, 18, 27, 36, 45, 54, 63, 72, 81, 90",1,9n,9n,9n,"a_n = 9n, for n >= 1",9n,9n,9*n,lambda n: 9n,9n,9n,a_n = 9n,"9 n for n in range(1, 11)",a_n = 9n,9n,9n,9n,a_n = 9n,9*n,9*n,9n,9*n,9*n,n^2 + n - 1,9*n,9*n,9*n,9*n,9*n,9*n,9*n
"10, 20, 30, 40, 50, 60, 70, 80, 90, 100",1,10n,10n,10n,"a_n = 10n, for n >= 1",10n,10n,10*n,lambda n: 10n,10n,10n,a_n = 10n,"10n for n in range(1, 11)",a_n = 10n,10n,10n,10n,a_n = 10n,10*n,10*n,10n,10*n,10*n,10n,10*n,10*n,10*n,10*n,10*n,10*n,10*n
"1, 3, 5, 7, 9, 11, 13, 15, 17, 19",1,2n-1,2n-1,2n-1,"a_n = 2n - 1, for n >= 1",2n-1,2n-1,2*n-1,lambda n: 2n - 1,2n-1,2n - 1,a_n = 2n - 1,"2 n - 1 for n in range(1, 11)",a_n = 2n - 1,2n-1,2n - 1,2n-1,a_n = 2n - 1,2*n - 1,2*n - 1,2n-1,2*n - 1,2*n - 1,2n - 1,2*n - 1,2*n - 1,2*n - 1,2*n - 1,2*n - 1,2*n - 1,2*n - 1
"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",1,n+10,n+10,n+10,"a_n = 2n, for n >= 1",n+10,n+10,2*n,lambda n: 2n,n+10,2n,a_n = n + 11,"2*n for n in range(1, 11)",a_n = 2n,2n,2n,n+10,a_n = 2n,2*n,2*n,2n,2*n,2*n,2n,2*n,2*n,2*n,2*n,2*n,2*n,2*n
"21, 22, 23, 24, 25, 26, 27, 28, 29, 30",1,n+20,n+20,n+20,"a_n = n + 10, for n >= 1",n+20,n+20,n+10,lambda n: n + 10,n+20,n + 10,a_n = n + 21,"n + 10 for n in range(1, 11)",a_n = n + 10,n+10,n + 10,n+20,a_n = n + 10,n + 10,n + 10,n+10,10 + n,n + 10,n + 10,n + 10,n + 10,n + 10,n + 10,n + 10,n + 10,n + 10
"31, 32, 33, 34, 35, 36, 37, 38, 39, 40",1,n+30,n+30,n+30,"a_n = n + 20, for n >= 1",n+30,n+30,n+20,lambda n: n + 20,n+30,n + 20,a_n = n + 31,"n + 20 for n in range(1, 11)",a_n = n + 20,n+20,n + 20,n+30,a_n = n + 20,n + 20,n + 20,n+20,20 + n,n + 20,n + 20,n + 20,n + 20,n + 20,n + 20,n + 20,n + 20,n + 20
"41, 42, 43, 44, 45, 46, 47, 48, 49, 50",1,n+40,n+40,n+40,"a_n = n + 30, for n >= 1",n+40,n+40,n+30,lambda n: n + 30,n+40,n + 30,a_n = n + 41,"n + 30 for n in range(1, 11)",a_n = n + 30,n+30,n + 30,n+40,a_n = n + 30,n + 30,n + 30,n+30,30 + n,n + 30,n + 30,n + 30,n + 30,n + 30,n + 30,n + 30,n + 30,n + 30
