case,complexity,model,Known sequence,Pure math,Print,Not found,Accuracy,Equivalence,Valid Instances
multiple formulae,1,ChatGPT-4o,0.0,60.0,0.0,30.0,100.0,40.0,60.0
multiple formulae,2,ChatGPT-4o,12.0,50.0,0.0,28.0,46.666666666666664,56.666666666666664,62.0
multiple formulae,3,ChatGPT-4o,0.0,0.0,0.0,90.0,0.0,0.0,0.0
multiple formulae,1,ChatGPT-4o-Mini,1.0,87.0,0.0,2.0,73.33333333333333,13.333333333333334,88.0
multiple formulae,2,ChatGPT-4o-Mini,5.0,79.0,0.0,6.0,33.333333333333336,6.666666666666667,84.0
multiple formulae,3,ChatGPT-4o-Mini,0.0,84.0,0.0,6.0,0.0,3.3333333333333335,84.0
multiple formulae,1,ChatGPT-4.5,0.0,90.0,0.0,0.0,100.0,36.666666666666664,90.0
multiple formulae,2,ChatGPT-4.5,13.0,15.0,0.0,62.0,36.666666666666664,20.0,28.0
multiple formulae,3,ChatGPT-4.5,0.0,0.0,0.0,90.0,0.0,0.0,0.0
multiple formulae,1,o1-Preview,0.0,60.0,0.0,30.0,100.0,100.0,60.0
multiple formulae,2,o1-Preview,2.0,36.0,0.0,52.0,50.0,46.666666666666664,38.0
multiple formulae,3,o1-Preview,0.0,0.0,0.0,90.0,0.0,0.0,0.0
multiple formulae,1,o1-Mini,0.0,60.0,0.0,0.0,100.0,80.0,60.0
multiple formulae,2,o1-Mini,6.0,18.0,0.0,36.0,53.333333333333336,76.66666666666667,24.0
multiple formulae,3,o1-Mini,0.0,0.0,0.0,60.0,0.0,0.0,0.0
multiple formulae,1,ChatGPT-5,0.0,94.0,0.0,56.0,100.0,53.333333333333336,94.0
multiple formulae,2,ChatGPT-5,6.0,84.0,0.0,60.0,23.333333333333332,33.333333333333336,90.0
multiple formulae,3,ChatGPT-5,0.0,91.0,0.0,59.0,0.0,33.333333333333336,91.0
multiple formulae,1,ChatGPT-5.2,0.0,31.0,0.0,29.0,100.0,100.0,31.0
multiple formulae,2,ChatGPT-5.2,4.0,18.0,0.0,38.0,43.333333333333336,73.33333333333333,22.0
multiple formulae,3,ChatGPT-5.2,0.0,2.0,0.0,58.0,0.0,6.666666666666667,2.0
multiple formulae,1,Grok-3,0.0,60.0,0.0,0.0,100.0,93.33333333333331,60.0
multiple formulae,2,Grok-3,6.0,39.0,3.0,12.0,53.333333333333336,40.0,45.0
multiple formulae,3,Grok-3,0.0,0.0,0.0,60.0,0.0,0.0,0.0
multiple formulae,1,Grok-4,1.0,83.0,0.0,6.0,86.66666666666667,16.666666666666668,84.0
multiple formulae,2,Grok-4,1.0,69.0,0.0,20.0,16.666666666666668,20.0,70.0
multiple formulae,3,Grok-4,0.0,76.0,0.0,14.0,0.0,10.0,76.0
multiple formulae,1,Grok-4.1,0.0,30.0,0.0,0.0,100.0,100.0,30.0
multiple formulae,2,Grok-4.1,10.0,14.0,0.0,6.0,36.666666666666664,76.66666666666667,24.0
multiple formulae,3,Grok-4.1,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple formulae,1,Claude-3.5,0.0,68.0,0.0,22.0,100.0,100.0,68.0
multiple formulae,2,Claude-3.5,5.0,27.0,0.0,58.0,43.333333333333336,63.333333333333336,32.0
multiple formulae,3,Claude-3.5,0.0,0.0,0.0,90.0,0.0,0.0,0.0
multiple formulae,1,Claude-3.7,6.0,83.0,0.0,1.0,66.66666666666667,20.0,89.0
multiple formulae,2,Claude-3.7,4.0,82.0,0.0,4.0,23.333333333333332,3.3333333333333335,86.0
multiple formulae,3,Claude-3.7,2.0,80.0,0.0,8.0,0.0,0.0,82.0
multiple formulae,1,Claude-Sonnet-4,0.0,97.0,0.0,173.0,96.66666666666669,56.666666666666664,97.0
multiple formulae,2,Claude-Sonnet-4,6.0,90.0,0.0,174.0,23.333333333333332,40.0,96.0
multiple formulae,3,Claude-Sonnet-4,0.0,89.0,0.0,181.0,0.0,23.333333333333332,89.0
multiple formulae,1,Claude-Opus-4,4.0,85.0,0.0,1.0,70.0,43.333333333333336,89.0
multiple formulae,2,Claude-Opus-4,7.0,80.0,0.0,3.0,16.666666666666668,13.333333333333334,87.0
multiple formulae,3,Claude-Opus-4,0.0,82.0,0.0,8.0,0.0,0.0,82.0
multiple formulae,1,Claude-4.5,0.0,71.0,0.0,19.0,100.0,36.666666666666664,71.0
multiple formulae,2,Claude-4.5,13.0,34.0,0.0,43.0,53.333333333333336,40.0,47.0
multiple formulae,3,Claude-4.5,0.0,0.0,0.0,90.0,0.0,0.0,0.0
multiple formulae,1,Gemini,0.0,60.0,0.0,30.0,100.0,43.333333333333336,60.0
multiple formulae,2,Gemini,15.0,38.0,0.0,37.0,33.333333333333336,53.333333333333336,53.0
multiple formulae,3,Gemini,0.0,0.0,0.0,90.0,0.0,0.0,0.0
multiple formulae,1,Gemini-2.5-Pro,1.0,55.0,0.0,34.0,70.0,20.0,56.0
multiple formulae,2,Gemini-2.5-Pro,2.0,50.0,0.0,38.0,26.666666666666668,6.666666666666667,52.0
multiple formulae,3,Gemini-2.5-Pro,0.0,55.0,0.0,35.0,0.0,6.666666666666667,55.0
multiple formulae,1,Gemini-3-Pro,0.0,30.0,0.0,0.0,100.0,100.0,30.0
multiple formulae,2,Gemini-3-Pro,8.0,19.0,0.0,3.0,63.333333333333336,86.66666666666667,27.0
multiple formulae,3,Gemini-3-Pro,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple formulae,1,Mistral,0.0,60.0,0.0,0.0,100.0,0.0,60.0
multiple formulae,2,Mistral,0.0,58.0,0.0,2.0,16.666666666666668,50.0,58.0
multiple formulae,3,Mistral,0.0,0.0,0.0,60.0,0.0,0.0,0.0
multiple formulae,1,Mistral-Large-2405,5.0,52.0,0.0,33.0,56.666666666666664,3.3333333333333335,57.0
multiple formulae,2,Mistral-Large-2405,8.0,43.0,0.0,39.0,36.666666666666664,0.0,51.0
multiple formulae,3,Mistral-Large-2405,0.0,53.0,0.0,37.0,0.0,0.0,53.0
multiple formulae,1,Mistral-Large-3,0.0,30.0,0.0,0.0,100.0,100.0,30.0
multiple formulae,2,Mistral-Large-3,11.0,13.0,0.0,6.0,46.666666666666664,76.66666666666667,24.0
multiple formulae,3,Mistral-Large-3,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple formulae,1,Qwen,0.0,30.0,0.0,0.0,100.0,100.0,30.0
multiple formulae,2,Qwen,10.0,20.0,0.0,0.0,46.666666666666664,96.66666666666669,30.0
multiple formulae,3,Qwen,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple formulae,1,Qwen-3,0.0,83.0,0.0,7.0,83.33333333333333,20.0,83.0
multiple formulae,2,Qwen-3,6.0,65.0,0.0,19.0,23.333333333333332,20.0,71.0
multiple formulae,3,Qwen-3,0.0,70.0,0.0,20.0,0.0,16.666666666666668,70.0
multiple formulae,1,DeepSeek,0.0,60.0,0.0,0.0,100.0,6.666666666666667,60.0
multiple formulae,2,DeepSeek,17.0,43.0,0.0,0.0,63.333333333333336,50.0,60.0
multiple formulae,3,DeepSeek,0.0,0.0,0.0,60.0,0.0,0.0,0.0
multiple formulae,1,DeepSeek-R1-0525,0.0,98.0,0.0,52.0,100.0,50.0,98.0
multiple formulae,2,DeepSeek-R1-0525,6.0,87.0,0.0,57.0,26.666666666666668,23.333333333333332,93.0
multiple formulae,3,DeepSeek-R1-0525,0.0,88.0,0.0,62.0,0.0,20.0,88.0
multiple formulae,1,Meta,0.0,60.0,0.0,0.0,100.0,80.0,60.0
multiple formulae,2,Meta,11.0,39.0,0.0,10.0,23.333333333333332,56.666666666666664,50.0
multiple formulae,3,Meta,0.0,0.0,0.0,60.0,0.0,0.0,0.0
multiple formulae,1,Llama-4-Scout,10.0,79.0,0.0,1.0,86.66666666666667,26.666666666666668,89.0
multiple formulae,2,Llama-4-Scout,12.0,76.0,0.0,2.0,36.666666666666664,3.3333333333333335,88.0
multiple formulae,3,Llama-4-Scout,0.0,82.0,0.0,8.0,0.0,0.0,82.0
multiple formulae,1,Cursor-Small,0.0,36.0,0.0,54.0,100.0,96.66666666666669,36.0
multiple formulae,2,Cursor-Small,8.0,29.0,1.0,52.0,43.333333333333336,83.33333333333333,37.0
multiple formulae,3,Cursor-Small,0.0,0.0,0.0,90.0,0.0,0.0,0.0
