case,complexity,model,Known sequence,Pure math,Print,Not found,Accuracy,Equivalence,Valid Instances
multiple script,1,ChatGPT-4o,0.0,30.0,30.0,0.0,100.0,100.0,30.0
multiple script,2,ChatGPT-4o,5.0,11.0,36.0,8.0,86.66666666666667,83.33333333333333,16.0
multiple script,3,ChatGPT-4o,0.0,0.0,30.0,30.0,100.0,100.0,0.0
multiple script,1,ChatGPT-4o-Mini,0.0,156.0,32.0,14.0,53.333333333333336,53.333333333333336,156.0
multiple script,2,ChatGPT-4o-Mini,4.0,173.0,19.0,17.0,20.0,23.333333333333332,177.0
multiple script,3,ChatGPT-4o-Mini,0.0,300.0,0.0,30.0,0.0,0.0,300.0
multiple script,1,ChatGPT-4.5,0.0,71.0,0.0,0.0,0.0,0.0,71.0
multiple script,2,ChatGPT-4.5,1.0,8.0,0.0,21.0,0.0,0.0,9.0
multiple script,3,ChatGPT-4.5,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,o1-Preview,0.0,30.0,30.0,0.0,100.0,100.0,30.0
multiple script,2,o1-Preview,6.0,19.0,13.0,0.0,36.666666666666664,40.0,25.0
multiple script,3,o1-Preview,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,1,o1-Mini,0.0,30.0,50.0,0.0,100.0,100.0,30.0
multiple script,2,o1-Mini,7.0,8.0,28.0,4.0,70.0,66.66666666666667,15.0
multiple script,3,o1-Mini,0.0,0.0,30.0,0.0,100.0,100.0,0.0
multiple script,1,ChatGPT-5,24.0,12.0,33.0,0.0,20.0,20.0,36.0
multiple script,2,ChatGPT-5,6.0,29.0,29.0,0.0,20.0,30.0,35.0
multiple script,3,ChatGPT-5,0.0,0.0,30.0,30.0,100.0,100.0,0.0
multiple script,1,ChatGPT-5.2,0.0,30.0,10.0,0.0,100.0,100.0,30.0
multiple script,2,ChatGPT-5.2,1.0,4.0,17.0,8.0,36.666666666666664,56.666666666666664,5.0
multiple script,3,ChatGPT-5.2,0.0,0.0,2.0,28.0,0.0,6.666666666666667,0.0
multiple script,1,Grok-3,0.0,60.0,0.0,0.0,0.0,0.0,60.0
multiple script,2,Grok-3,6.0,42.0,0.0,12.0,0.0,0.0,48.0
multiple script,3,Grok-3,0.0,30.0,0.0,30.0,0.0,50.0,30.0
multiple script,1,Grok-4,0.0,30.0,11.0,0.0,100.0,100.0,30.0
multiple script,2,Grok-4,0.0,0.0,15.0,15.0,20.0,20.0,0.0
multiple script,3,Grok-4,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,Grok-4.1,0.0,40.0,0.0,0.0,100.0,100.0,40.0
multiple script,2,Grok-4.1,1.0,30.0,0.0,3.0,33.333333333333336,60.0,31.0
multiple script,3,Grok-4.1,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,Claude-3.5,0.0,30.0,60.0,0.0,100.0,100.0,30.0
multiple script,2,Claude-3.5,5.0,11.0,36.0,8.0,83.33333333333333,83.33333333333333,16.0
multiple script,3,Claude-3.5,0.0,0.0,30.0,30.0,100.0,100.0,0.0
multiple script,1,Claude-3.7,19.0,22.0,36.0,0.0,36.666666666666664,36.666666666666664,41.0
multiple script,2,Claude-3.7,12.0,169.0,21.0,16.0,30.0,43.333333333333336,181.0
multiple script,3,Claude-3.7,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,Claude-Sonnet-4,24.0,12.0,38.0,0.0,20.0,20.0,36.0
multiple script,2,Claude-Sonnet-4,9.0,31.0,33.0,0.0,20.0,30.0,40.0
multiple script,3,Claude-Sonnet-4,0.0,44.0,0.0,16.0,0.0,0.0,44.0
multiple script,1,Claude-Opus-4,24.0,12.0,32.0,0.0,20.0,20.0,36.0
multiple script,2,Claude-Opus-4,9.0,26.0,26.0,0.0,3.3333333333333335,16.666666666666668,35.0
multiple script,3,Claude-Opus-4,0.0,0.0,30.0,30.0,100.0,100.0,0.0
multiple script,1,Claude-4.5,0.0,60.0,30.0,0.0,100.0,100.0,60.0
multiple script,2,Claude-4.5,1.0,5.0,29.0,0.0,70.0,73.33333333333333,6.0
multiple script,3,Claude-4.5,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,Gemini,0.0,30.0,41.0,0.0,100.0,100.0,30.0
multiple script,2,Gemini,5.0,12.0,44.0,0.0,100.0,86.66666666666667,17.0
multiple script,3,Gemini,0.0,0.0,30.0,0.0,100.0,100.0,0.0
multiple script,1,Gemini-2.5-Pro,0.0,30.0,11.0,0.0,100.0,100.0,30.0
multiple script,2,Gemini-2.5-Pro,14.0,9.0,18.0,0.0,56.666666666666664,60.0,23.0
multiple script,3,Gemini-2.5-Pro,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,1,Gemini-3-Pro,0.0,30.0,0.0,0.0,0.0,0.0,30.0
multiple script,2,Gemini-3-Pro,3.0,24.0,0.0,0.0,0.0,0.0,27.0
multiple script,3,Gemini-3-Pro,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,Mistral,0.0,30.0,30.0,0.0,100.0,0.0,30.0
multiple script,2,Mistral,2.0,39.0,19.0,0.0,53.333333333333336,0.0,41.0
multiple script,3,Mistral,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,Mistral-Large-2405,0.0,9.0,30.0,0.0,20.0,10.0,9.0
multiple script,2,Mistral-Large-2405,5.0,214.0,4.0,21.0,3.3333333333333335,0.0,219.0
multiple script,3,Mistral-Large-2405,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,Mistral-Large-3,0.0,30.0,60.0,0.0,100.0,100.0,30.0
multiple script,2,Mistral-Large-3,1.0,5.0,28.0,5.0,60.0,70.0,6.0
multiple script,3,Mistral-Large-3,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,Qwen,0.0,41.0,0.0,0.0,0.0,0.0,41.0
multiple script,2,Qwen,2.0,43.0,0.0,10.0,0.0,0.0,45.0
multiple script,3,Qwen,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,Qwen-3,0.0,39.0,0.0,0.0,0.0,0.0,39.0
multiple script,2,Qwen-3,4.0,219.0,0.0,21.0,16.666666666666668,16.666666666666668,223.0
multiple script,3,Qwen-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,1,DeepSeek,0.0,60.0,0.0,0.0,100.0,100.0,60.0
multiple script,2,DeepSeek,1.0,52.0,0.0,7.0,100.0,96.66666666666669,53.0
multiple script,3,DeepSeek,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,DeepSeek-R1-0528,0.0,47.0,0.0,0.0,36.666666666666664,36.666666666666664,47.0
multiple script,2,DeepSeek-R1-0528,9.0,179.0,0.0,16.0,16.666666666666668,30.0,188.0
multiple script,3,DeepSeek-R1-0528,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,Meta,0.0,60.0,0.0,0.0,0.0,0.0,60.0
multiple script,2,Meta,6.0,53.0,0.0,1.0,0.0,0.0,59.0
multiple script,3,Meta,0.0,44.0,0.0,16.0,0.0,0.0,44.0
multiple script,1,Llama-4-Scout,0.0,6.0,33.0,0.0,20.0,20.0,6.0
multiple script,2,Llama-4-Scout,4.0,211.0,4.0,21.0,3.3333333333333335,16.666666666666668,215.0
multiple script,3,Llama-4-Scout,0.0,0.0,0.0,30.0,0.0,0.0,0.0
multiple script,1,Cursor-Small,0.0,30.0,30.0,0.0,100.0,100.0,30.0
multiple script,2,Cursor-Small,5.0,8.0,38.0,9.0,70.0,86.66666666666667,13.0
multiple script,3,Cursor-Small,0.0,0.0,30.0,30.0,100.0,100.0,0.0
