sort_simi_percen_10,gral_simi_percen_10,levenshtein_10,forecasted_10,root_10,to_predict_10,sort_simi_percen_25,gral_simi_percen_25,levenshtein_25,forecasted_25,root_25,to_predict_25,sort_simi_percen_50,gral_simi_percen_50,levenshtein_50,forecasted_50,root_50,to_predict_50,sort_simi_percen_75,gral_simi_percen_75,levenshtein_75,forecasted_75,root_75,to_predict_75,complexity,forecasting_method_name,seq_type
0.0,0.0,2,[6],"[2, 4, 6, 8, 10, 12, 14, 16, 18]",[20],0.0,0.0,4,"[4, 4]","[2, 4, 6, 8, 10, 12, 14, 16]","[18, 20]",0.0,0.0,9,"[170, 130, 157, 208, 280]","[2, 4, 6, 8, 10]","[12, 14, 16, 18, 20]",0.0,0.0,17,"[170, 130, 157, 208, 280, 267, 192]","[2, 4, 6]","[8, 10, 12, 14, 16, 18, 20]",1,timeGPT-1,original
0.0,0.0,2,[9],"[3, 6, 9, 12, 15, 18, 21, 24, 27]",[30],0.0,0.0,4,"[6, 6]","[3, 6, 9, 12, 15, 18, 21, 24]","[27, 30]",0.0,0.0,13,"[171, 130, 158, 209, 281]","[3, 6, 9, 12, 15]","[18, 21, 24, 27, 30]",0.0,0.0,14,"[171, 130, 158, 209, 281, 268, 193]","[3, 6, 9]","[12, 15, 18, 21, 24, 27, 30]",1,timeGPT-1,original
0.0,0.0,2,[12],"[4, 8, 12, 16, 20, 24, 28, 32, 36]",[40],0.0,0.0,4,"[8, 8]","[4, 8, 12, 16, 20, 24, 28, 32]","[36, 40]",0.0,0.0,15,"[172, 131, 159, 209, 281]","[4, 8, 12, 16, 20]","[24, 28, 32, 36, 40]",0.0,0.0,18,"[172, 131, 159, 209, 281, 269, 193]","[4, 8, 12]","[16, 20, 24, 28, 32, 36, 40]",1,timeGPT-1,original
0.0,0.0,2,[15],"[5, 10, 15, 20, 25, 30, 35, 40, 45]",[50],0.0,0.0,3,"[10, 10]","[5, 10, 15, 20, 25, 30, 35, 40]","[45, 50]",0.0,0.0,13,"[172, 132, 160, 210, 282]","[5, 10, 15, 20, 25]","[30, 35, 40, 45, 50]",0.0,0.0,20,"[172, 132, 160, 210, 282, 269, 194]","[5, 10, 15]","[20, 25, 30, 35, 40, 45, 50]",1,timeGPT-1,original
0.0,0.0,2,[18],"[6, 12, 18, 24, 30, 36, 42, 48, 54]",[60],0.0,0.0,4,"[12, 12]","[6, 12, 18, 24, 30, 36, 42, 48]","[54, 60]",0.0,0.0,15,"[173, 133, 160, 211, 283]","[6, 12, 18, 24, 30]","[36, 42, 48, 54, 60]",0.0,0.0,18,"[173, 133, 160, 211, 283, 270, 195]","[6, 12, 18]","[24, 30, 36, 42, 48, 54, 60]",1,timeGPT-1,original
0.0,0.0,2,[21],"[7, 14, 21, 28, 35, 42, 49, 56, 63]",[70],0.0,0.0,4,"[14, 14]","[7, 14, 21, 28, 35, 42, 49, 56]","[63, 70]",0.0,0.0,14,"[174, 134, 161, 212, 284]","[7, 14, 21, 28, 35]","[42, 49, 56, 63, 70]",0.0,0.0,20,"[174, 134, 161, 212, 284, 271, 196]","[7, 14, 21]","[28, 35, 42, 49, 56, 63, 70]",1,timeGPT-1,original
0.0,0.0,2,[24],"[8, 16, 24, 32, 40, 48, 56, 64, 72]",[80],0.0,0.0,4,"[16, 15]","[8, 16, 24, 32, 40, 48, 56, 64]","[72, 80]",0.0,0.0,13,"[175, 134, 162, 213, 285]","[8, 16, 24, 32, 40]","[48, 56, 64, 72, 80]",0.0,0.0,19,"[175, 134, 162, 213, 285, 272, 196]","[8, 16, 24]","[32, 40, 48, 56, 64, 72, 80]",1,timeGPT-1,original
0.0,0.0,2,[27],"[9, 18, 27, 36, 45, 54, 63, 72, 81]",[90],0.0,0.0,4,"[18, 17]","[9, 18, 27, 36, 45, 54, 63, 72]","[81, 90]",0.0,0.0,13,"[176, 135, 163, 213, 285]","[9, 18, 27, 36, 45]","[54, 63, 72, 81, 90]",0.0,0.0,17,"[176, 135, 163, 213, 285, 273, 197]","[9, 18, 27]","[36, 45, 54, 63, 72, 81, 90]",1,timeGPT-1,original
0.0,0.0,2,[30],"[10, 20, 30, 40, 50, 60, 70, 80, 90]",[100],0.0,0.0,4,"[19, 19]","[10, 20, 30, 40, 50, 60, 70, 80]","[90, 100]",0.0,0.0,15,"[176, 136, 164, 214, 286]","[10, 20, 30, 40, 50]","[60, 70, 80, 90, 100]",0.0,0.0,18,"[176, 136, 164, 214, 286, 273, 198]","[10, 20, 30]","[40, 50, 60, 70, 80, 90, 100]",1,timeGPT-1,original
0.0,0.0,2,[5],"[1, 3, 5, 7, 9, 11, 13, 15, 17]",[19],0.0,0.0,4,"[3, 3]","[1, 3, 5, 7, 9, 11, 13, 15]","[17, 19]",0.0,0.0,9,"[169, 129, 156, 207, 279]","[1, 3, 5, 7, 9]","[11, 13, 15, 17, 19]",0.0,0.0,16,"[169, 129, 156, 207, 279, 266, 191]","[1, 3, 5]","[7, 9, 11, 13, 15, 17, 19]",1,timeGPT-1,original
0.0,0.0,2,[6],"[2, 4, 6, 8, 10, 12, 14, 16, 18]",[20],0.0,0.0,4,"[4, 4]","[2, 4, 6, 8, 10, 12, 14, 16]","[18, 20]",0.0,0.0,9,"[170, 130, 157, 208, 280]","[2, 4, 6, 8, 10]","[12, 14, 16, 18, 20]",0.0,0.0,17,"[170, 130, 157, 208, 280, 267, 192]","[2, 4, 6]","[8, 10, 12, 14, 16, 18, 20]",1,timeGPT-1,original
0.0,0.0,2,[12],"[11, 12, 13, 14, 15, 16, 17, 18, 19]",[20],0.0,0.0,3,"[11, 11]","[11, 12, 13, 14, 15, 16, 17, 18]","[19, 20]",0.0,0.0,9,"[177, 137, 164, 215, 287]","[11, 12, 13, 14, 15]","[16, 17, 18, 19, 20]",0.0,0.0,15,"[177, 137, 164, 215, 287, 274, 199]","[11, 12, 13]","[14, 15, 16, 17, 18, 19, 20]",1,timeGPT-1,original
0.0,0.0,2,[21],"[21, 22, 23, 24, 25, 26, 27, 28, 29]",[30],0.0,0.0,3,"[21, 21]","[21, 22, 23, 24, 25, 26, 27, 28]","[29, 30]",0.0,0.0,14,"[185, 145, 172, 223, 295]","[21, 22, 23, 24, 25]","[26, 27, 28, 29, 30]",0.0,0.0,16,"[185, 145, 172, 223, 295, 282, 207]","[21, 22, 23]","[24, 25, 26, 27, 28, 29, 30]",1,timeGPT-1,original
0.0,0.0,2,[31],"[31, 32, 33, 34, 35, 36, 37, 38, 39]",[40],0.0,0.0,3,"[31, 31]","[31, 32, 33, 34, 35, 36, 37, 38]","[39, 40]",0.0,0.0,12,"[193, 153, 180, 231, 303]","[31, 32, 33, 34, 35]","[36, 37, 38, 39, 40]",0.0,0.0,17,"[193, 153, 180, 231, 303, 290, 214]","[31, 32, 33]","[34, 35, 36, 37, 38, 39, 40]",1,timeGPT-1,original
0.0,0.0,2,[41],"[41, 42, 43, 44, 45, 46, 47, 48, 49]",[50],0.0,0.0,3,"[41, 41]","[41, 42, 43, 44, 45, 46, 47, 48]","[49, 50]",0.0,0.0,13,"[201, 161, 188, 239, 311]","[41, 42, 43, 44, 45]","[46, 47, 48, 49, 50]",0.0,0.0,20,"[201, 161, 188, 239, 311, 298, 222]","[41, 42, 43]","[44, 45, 46, 47, 48, 49, 50]",1,timeGPT-1,original
